Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,33.140397,[107  14] ; [137  97],[83.16619718 37.83380282] ; [160.83380282  73.16619718],1
s8,1,0.006081,7.526195,[56 66] ; [ 76 167],[44.12054795 77.87945205] ; [ 87.87945205 155.12054795],0
p2,1,0.008437,6.938223,[91 30] ; [149  94],[79.78021978 41.21978022] ; [160.21978022  82.78021978],0
s5,1,0.01518,5.89542,[48 66] ; [ 67 164],[38. 76.] ; [ 77. 154.],0
s2,1,0.017962,5.599809,[70 52] ; [108 136],[59.33333333 62.66666667] ; [118.66666667 125.33333333],0
n6,1,0.021229,5.307871,[92 28] ; [156  85],[82.43767313 37.56232687] ; [165.56232687  75.43767313],0
p6,1,0.028098,4.822069,[46 76] ; [ 63 175],[36.93888889 85.06111111] ; [ 72.06111111 165.93888889],0
s6,1,0.028975,4.769098,[81 38] ; [134 105],[71.46648045 47.53351955] ; [143.53351955  95.46648045],0
v4,1,0.030299,4.69222,[112  10] ; [203  40],[105.28767123  16.71232877] ; [209.71232877  33.28767123],0
s7,1,0.031873,4.60532,[59 54] ; [ 89 134],[49.77380952 63.22619048] ; [ 98.22619048 124.77380952],0
r4,1,0.043747,4.066295,[99 23] ; [175  70],[91.08446866 30.91553134] ; [182.91553134  62.08446866],0
p7,1,0.061194,3.504728,[66 53] ; [107 131],[57.66666667 61.33333333] ; [115.33333333 122.66666667],0
r2,1,0.062407,3.472222,[113   7] ; [211  29],[108.  12.] ; [216.  24.],0
r1,1,0.067078,3.353106,[95 27] ; [167  76],[87.57260274 34.42739726] ; [174.42739726  68.57260274],0
r3,1,0.125857,2.34288,[104  17] ; [192  50],[98.66666667 22.33333333] ; [197.33333333  44.66666667],0
n2,1,0.145916,2.114434,[32 10] ; [63 36],[28.29787234 13.70212766] ; [66.70212766 32.29787234],0
p8,1,0.159345,1.980431,[45 77] ; [ 71 169],[39.09392265 82.90607735] ; [ 76.90607735 163.09392265],0
v2,1,0.16144,1.960682,[60 58] ; [101 134],[53.81869688 64.18130312] ; [107.18130312 127.81869688],0
v1,1,0.165744,1.92102,[59 63] ; [ 99 144],[52.8109589 69.1890411] ; [105.1890411 137.8109589],0
d1,1,0.170746,1.87638,[70 52] ; [122 123],[63.82561308 58.17438692] ; [128.17438692 116.82561308],0
d4,1,0.180806,1.790985,[99 23] ; [182  61],[93.92328767 28.07671233] ; [187.07671233  55.92328767],0
p4,1,0.215619,1.533295,[59 62] ; [101 140],[53.48066298 67.51933702] ; [106.51933702 134.48066298],0
d5,1,0.229476,1.444107,[97 24] ; [181  62],[92.41208791 28.58791209] ; [185.58791209  57.41208791],0
