Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.004462,8.085396,[3 2] ; [ 35 213],[0.75098814 4.24901186] ; [ 37.24901186 210.75098814],0
b2,1,0.032088,4.593778,[6 2] ; [ 64 108],[3.11111111 4.88888889] ; [ 66.88888889 105.11111111],0
b3,1,0.032088,4.593778,[6 2] ; [ 64 108],[3.11111111 4.88888889] ; [ 66.88888889 105.11111111],0
a1,1,0.061387,3.499503,[2 6] ; [ 19 247],[0.61313869 7.38686131] ; [ 20.38686131 245.61313869],0
v3,1,0.082847,3.00814,[5 2] ; [100 157],[2.78409091 4.21590909] ; [102.21590909 154.78409091],0
a2,1,0.114533,2.490534,[4 4] ; [ 67 199],[2.0729927 5.9270073] ; [ 68.9270073 197.0729927],0
s8,1,0.130985,2.280786,[6 2] ; [126 137],[3.89667897 4.10332103] ; [128.10332103 134.89667897],0
s7,1,0.141693,2.159478,[6 2] ; [123 130],[3.95402299 4.04597701] ; [125.04597701 127.95402299],0
u1,1,0.141698,2.159421,[3 5] ; [ 46 220],[1.43065693 6.56934307] ; [ 47.56934307 218.43065693],0
d3,1,0.157904,1.994184,[7 1] ; [168  98],[5.10948905 2.89051095] ; [169.89051095  96.10948905],0
d2,1,0.176348,1.828132,[6 2] ; [135 131],[4.11678832 3.88321168] ; [136.88321168 129.11678832],0
b5,1,0.268015,1.226876,[6 2] ; [147 119],[4.46715328 3.53284672] ; [148.53284672 117.46715328],0
d1,1,0.323567,0.974473,[6 2] ; [153 113],[4.64233577 3.35766423] ; [154.35766423 111.64233577],0
s3,1,0.338506,0.916082,[6 2] ; [151 109],[4.68656716 3.31343284] ; [152.31343284 107.68656716],0
p5,1,0.35423,0.858245,[2 5] ; [ 41 222],[1.11481481 5.88518519] ; [ 41.88518519 221.11481481],0
v2,1,0.382846,0.761544,[5 2] ; [137 113],[3.86770428 3.13229572] ; [138.13229572 111.86770428],0
a4,1,0.466478,0.530306,[5 3] ; [131 134],[3.98534799 4.01465201] ; [132.01465201 132.98534799],0
d5,1,0.484146,0.489511,[7 1] ; [204  61],[6.18315018 1.81684982] ; [204.81684982  60.18315018],0
s2,1,0.512998,0.427947,[5 3] ; [133 129],[4.08888889 3.91111111] ; [133.91111111 128.08888889],0
p4,1,0.522804,0.408358,[6 2] ; [169  95],[5.14705882 2.85294118] ; [169.85294118  94.14705882],0
a7,1,0.527594,0.399023,[6 2] ; [170  95],[5.15750916 2.84249084] ; [170.84249084  94.15750916],0
a6,1,0.568753,0.324773,[6 2] ; [173  92],[5.24542125 2.75457875] ; [173.75457875  91.24542125],0
p8,1,0.585531,0.297377,[4 4] ; [155 105],[4.74626866 3.25373134] ; [154.25373134 105.74626866],0
p12,1,0.615429,0.252344,[1 7] ; [ 20 241],[0.62453532 7.37546468] ; [ 20.37546468 240.62453532],0
p3,1,0.644504,0.2129,[4 4] ; [153 110],[4.63468635 3.36531365] ; [152.36531365 110.63468635],0
r1,1,0.657178,0.196969,[6 1] ; [208  56],[5.52767528 1.47232472] ; [208.47232472  55.52767528],0
d4,1,0.666033,0.186277,[7 1] ; [216  49],[6.53479853 1.46520147] ; [216.46520147  48.53479853],0
p2,1,0.673918,0.177053,[7 1] ; [214  48],[6.54814815 1.45185185] ; [214.45185185  47.54814815],0
s5,1,0.72516,0.123602,[3 5] ; [ 80 173],[2.5440613 5.4559387] ; [ 80.4559387 172.5440613],0
b4,1,0.762787,0.091097,[5 3] ; [152 114],[4.58394161 3.41605839] ; [152.41605839 113.58394161],0
p6,1,0.77926,0.078559,[3 5] ; [110 149],[3.38576779 4.61423221] ; [109.61423221 149.38576779],0
n4,1,0.780077,0.077963,[6 1] ; [217  49],[5.71794872 1.28205128] ; [217.28205128  48.71794872],0
p7,1,0.825497,0.048611,[6 2] ; [185  74],[5.72284644 2.27715356] ; [185.27715356  73.72284644],0
p10,1,0.880674,0.022534,[6 1] ; [219  43],[5.85501859 1.14498141] ; [219.14498141  42.85501859],0
