Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,5.6e-05,16.239699,[170 288] ; [12  1],[176.97664544 281.02335456] ; [5.02335456 7.97664544],1
b3,1,5.6e-05,16.239699,[170 288] ; [12  1],[176.97664544 281.02335456] ; [5.02335456 7.97664544],1
s8,1,0.000461,12.26869,[317 410] ; [12  1],[323.22027027 403.77972973] ; [5.77972973 7.22027027],1
a2,1,0.000505,12.098612,[156 578] ; [8 5],[161.145917 572.854083] ; [ 2.854083 10.145917],1
a1,1,0.001226,10.451414,[ 31 703] ; [ 3 10],[ 33.40829987 700.59170013] ; [ 0.59170013 12.40829987],0
p5,1,0.002044,9.509916,[ 87 638] ; [5 7],[ 90.50203528 634.49796472] ; [ 1.49796472 10.50203528],0
v3,1,0.002451,9.176602,[278 432] ; [8 1],[282.42002782 427.57997218] ; [3.57997218 5.42002782],0
p12,1,0.005505,7.705592,[ 62 661] ; [4 9],[ 64.83423913 658.16576087] ; [ 1.16576087 11.83423913],0
d2,1,0.005706,7.640726,[336 394] ; [11  2],[340.92866756 389.07133244] ; [6.07133244 6.92866756],0
s3,1,0.007326,7.191203,[394 322] ; [12  1],[398.75994513 317.24005487] ; [7.24005487 5.75994513],0
s7,1,0.008097,7.011939,[334 368] ; [11  2],[338.72727273 363.27272727] ; [6.27272727 6.72727273],0
d1,1,0.01056,6.537981,[418 316] ; [12  1],[422.5167336 311.4832664] ; [7.4832664 5.5167336],0
s2,1,0.010676,6.518463,[354 370] ; [11  2],[358.56173677 365.43826323] ; [6.43826323 6.56173677],0
a4,1,0.014347,5.994942,[314 417] ; [10  3],[318.33870968 412.66129032] ; [5.66129032 7.33870968],0
v1,1,0.023689,5.117281,[386 327] ; [9 1],[389.53665284 323.46334716] ; [5.46334716 4.53665284],0
u1,1,0.034238,4.482762,[120 614] ; [5 8],[122.82463186 611.17536814] ; [ 2.17536814 10.82463186],0
s6,1,0.043212,4.087102,[469 247] ; [12  1],[472.42249657 243.57750343] ; [8.57750343 4.42249657],0
p3,1,0.055535,3.665954,[365 363] ; [10  3],[368.42105263 359.57894737] ; [6.57894737 6.42105263],0
p4,1,0.077917,3.107822,[439 286] ; [11  2],[442.07317073 282.92682927] ; [7.92682927 5.07317073],0
a5,1,0.118459,2.437579,[535 198] ; [12  1],[537.46782842 195.53217158] ; [9.53217158 3.46782842],0
a8,1,0.140003,2.177929,[ 92 579] ; [3 7],[ 93.60499266 577.39500734] ; [1.39500734 8.60499266],0
v2,1,0.149262,2.079778,[404 301] ; [8 2],[406.23776224 298.76223776] ; [5.76223776 4.23776224],0
b1,1,0.155769,2.014825,[256 478] ; [7 6],[258.42302544 475.57697456] ; [4.57697456 8.42302544],0
d3,1,0.187149,1.73992,[493 239] ; [11  2],[495.20536913 236.79463087] ; [8.79463087 4.20536913],0
p6,1,0.203891,1.614279,[263 454] ; [7 6],[265.19178082 451.80821918] ; [4.80821918 8.19178082],0
s1,1,0.291756,1.111503,[ 20 701] ; [ 1 12],[ 20.6280654 700.3719346] ; [ 0.3719346 12.6280654],0
p8,1,0.338041,0.917846,[401 316] ; [9 4],[402.69863014 314.30136986] ; [7.30136986 5.69863014],0
s4,1,0.420504,0.648905,[115 608] ; [ 1 12],[113.95108696 609.04891304] ; [ 2.04891304 10.95108696],0
a6,1,0.49931,0.456404,[498 233] ; [10  3],[499.12365591 231.87634409] ; [8.87634409 4.12365591],0
n4,1,0.589479,0.291159,[574 158] ; [11  2],[574.79194631 157.20805369] ; [10.20805369  2.79194631],0
r1,1,0.633273,0.227649,[579 152] ; [11  2],[579.69086022 151.30913978] ; [10.30913978  2.69086022],0
d5,1,0.650594,0.205152,[582 150] ; [11  2],[582.65234899 149.34765101] ; [10.34765101  2.65234899],0
b4,1,0.686147,0.163289,[436 298] ; [7 6],[435.29049531 298.70950469] ; [7.70950469 5.29049531],0
p7,1,0.815958,0.054171,[469 240] ; [9 4],[469.3933518 239.6066482] ; [8.6066482 4.3933518],0
b5,1,0.830178,0.045999,[430 304] ; [8 5],[430.37751004 303.62248996] ; [7.62248996 5.37751004],0
s5,1,0.835131,0.043316,[236 471] ; [4 7],[236.32311978 470.67688022] ; [3.67688022 7.32311978],0
a7,1,0.897952,0.016448,[518 213] ; [9 4],[517.79166667 213.20833333] ; [9.20833333 3.79166667],0
p1,1,0.900361,0.015676,[ 63 663] ; [ 1 12],[ 62.87415426 663.12584574] ; [ 1.12584574 11.87415426],0
p2,1,0.927065,0.008379,[620 105] ; [11  2],[619.88482385 105.11517615] ; [11.11517615  1.88482385],0
