Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,4.2e-05,16.770881,[74 38] ; [107  14],[87.00429185 24.99570815] ; [93.99570815 27.00429185],1
s5,1,0.009723,6.685023,[28 81] ; [48 66],[37.14798206 71.85201794] ; [38.85201794 75.14798206],0
s7,1,0.011709,6.354424,[39 71] ; [59 54],[48.34080717 61.65919283] ; [49.65919283 63.34080717],0
s8,1,0.016243,5.776364,[36 81] ; [56 66],[45.0376569 71.9623431] ; [46.9623431 75.0376569],0
s6,1,0.026393,4.930068,[62 53] ; [81 38],[70.27777778 44.72222222] ; [72.72222222 46.27777778],0
s2,1,0.033075,4.541873,[51 66] ; [70 52],[59.23430962 57.76569038] ; [61.76569038 60.23430962],0
p2,1,0.045487,4.000487,[74 43] ; [91 30],[81.11344538 35.88655462] ; [83.88655462 37.11344538],0
u3,1,0.071861,3.24,[16 29] ; [20 16],[20. 25.] ; [16. 20.],0
p6,1,0.085218,2.962472,[31 83] ; [46 76],[37.19491525 76.80508475] ; [39.80508475 82.19491525],0
p7,1,0.11575,2.473907,[51 62] ; [66 53],[56.98706897 56.01293103] ; [60.01293103 58.98706897],0
n6,1,0.129896,2.29375,[78 37] ; [92 28],[83.19148936 31.80851064] ; [86.80851064 33.19148936],0
v4,1,0.16654,1.913816,[100  16] ; [112  10],[103.32773109  12.67226891] ; [108.67226891  13.32773109],0
p3,1,0.207781,1.586819,[36 80] ; [47 74],[40.62447257 75.37552743] ; [42.37552743 78.62447257],0
d2,1,0.217414,1.521361,[53 64] ; [65 57],[57.76569038 59.23430962] ; [60.23430962 61.76569038],0
p4,1,0.223176,1.48383,[47 68] ; [59 62],[51.65254237 63.34745763] ; [54.34745763 66.65254237],0
n5,1,0.266523,1.234557,[67 48] ; [79 42],[71.1440678 43.8559322] ; [74.8559322 46.1440678],0
p12,1,0.278548,1.174161,[  2 114] ; [  5 117],[  3.41176471 112.58823529] ; [  3.58823529 118.41176471],0
n4,1,0.283189,1.151722,[68 46] ; [81 41],[71.97457627 42.02542373] ; [77.02542373 44.97457627],0
n3,1,0.286462,1.136176,[26 17] ; [30 12],[28.32941176 14.67058824] ; [27.67058824 14.32941176],0
a3,1,0.286796,1.1346,[71 42] ; [84 37],[74.85042735 38.14957265] ; [80.14957265 40.85042735],0
r1,1,0.292382,1.108619,[82 32] ; [95 27],[85.5 28.5] ; [91.5 30.5],0
v1,1,0.305949,1.048081,[48 67] ; [59 63],[51.91983122 63.08016878] ; [55.08016878 66.91983122],0
a6,1,0.334317,0.932103,[78 39] ; [74 48],[74.41004184 42.58995816] ; [77.58995816 44.41004184],0
d5,1,0.358669,0.842547,[88 29] ; [97 24],[90.94537815 26.05462185] ; [94.05462185 26.94537815],0
d4,1,0.422176,0.644251,[90 27] ; [99 23],[92.52301255 24.47698745] ; [96.47698745 25.52301255],0
n2,1,0.446398,0.579781,[31 14] ; [32 10],[32.5862069 12.4137931] ; [30.4137931 11.5862069],0
u2,1,0.455003,0.558158,[17 28] ; [17 20],[18.65853659 26.34146341] ; [15.34146341 21.65853659],0
a4,1,0.476909,0.505924,[47 69] ; [55 67],[49.71428571 66.28571429] ; [52.28571429 69.71428571],0
s3,1,0.485135,0.487298,[57 58] ; [66 56],[59.6835443 55.3164557] ; [63.3164557 58.6835443],0
b2,1,0.507735,0.438732,[21 37] ; [17 39],[19.33333333 38.66666667] ; [18.66666667 37.33333333],0
b3,1,0.507735,0.438732,[21 37] ; [17 39],[19.33333333 38.66666667] ; [18.66666667 37.33333333],0
r4,1,0.518892,0.416095,[91 26] ; [99 23],[93.0125523 23.9874477] ; [96.9874477 25.0125523],0
s1,1,0.533027,0.388618,[  9 106] ; [  7 114],[  7.79661017 107.20338983] ; [  8.20338983 112.79661017],0
a1,1,0.56282,0.334845,[  4 113] ; [  6 116],[  4.89539749 112.10460251] ; [  5.10460251 116.89539749],0
b4,1,0.579765,0.306615,[62 55] ; [69 53],[64.12970711 52.87029289] ; [66.87029289 55.12970711],0
s4,1,0.657002,0.197185,[25 92] ; [29 93],[26.43514644 90.56485356] ; [27.56485356 94.43514644],0
v3,1,0.6644,0.188222,[37 73] ; [44 77],[38.57142857 71.42857143] ; [42.42857143 78.57142857],0
d1,1,0.676885,0.173654,[64 53] ; [70 52],[65.59832636 51.40167364] ; [68.40167364 53.59832636],0
p1,1,0.67726,0.173226,[  8 109] ; [ 10 111],[  8.8487395 108.1512605] ; [  9.1512605 111.8487395],0
a8,1,0.696251,0.152401,[11 91] ; [10 99],[10.15165877 91.84834123] ; [10.84834123 98.15165877],0
r2,1,0.698459,0.15008,[105   8] ; [113   7],[105.72532189   7.27467811] ; [112.27467811   7.72532189],0
a5,1,0.710002,0.138275,[75 42] ; [81 41],[76.36820084 40.63179916] ; [79.63179916 42.36820084],0
b5,1,0.772113,0.083875,[75 42] ; [76 46],[73.92050209 43.07949791] ; [77.07949791 44.92050209],0
a7,1,0.805885,0.060387,[86 30] ; [88 33],[85.16455696 30.83544304] ; [88.83544304 32.16455696],0
v2,1,0.844108,0.038668,[54 55] ; [60 58],[54.74008811 54.25991189] ; [59.25991189 58.74008811],0
a2,1,0.857976,0.032024,[28 89] ; [28 94],[27.41422594 89.58577406] ; [28.58577406 93.41422594],0
r3,1,0.872655,0.025692,[98 17] ; [104  17],[98.43220339 16.56779661] ; [103.56779661  17.43220339],0
d3,1,0.873968,0.02516,[83 34] ; [84 36],[82.44303797 34.55696203] ; [84.55696203 35.44303797],0
