Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.030677,4.670956,[3 1] ; [ 63 175],[1.09090909 2.90909091] ; [ 64.90909091 173.09090909],0
p8,1,0.050022,3.840705,[3 1] ; [ 71 169],[1.21311475 2.78688525] ; [ 72.78688525 167.21311475],0
s8,1,0.062932,3.458376,[3 1] ; [ 76 167],[1.27935223 2.72064777] ; [ 77.72064777 165.27935223],0
v1,1,0.167492,1.905246,[3 1] ; [ 99 144],[1.65182186 2.34817814] ; [100.34817814 142.65182186],0
a8,1,0.200408,1.639396,[1 2] ; [ 23 199],[0.32 2.68] ; [ 23.68 198.32],0
b4,1,0.230334,1.438798,[1 3] ; [135 110],[2.18473896 1.81526104] ; [133.81526104 111.18473896],0
p1,1,0.252701,1.30831,[1 3] ; [ 21 223],[0.35483871 3.64516129] ; [ 21.64516129 222.35483871],0
d2,1,0.301715,1.066601,[3 1] ; [119 124],[1.9757085 2.0242915] ; [120.0242915 122.9757085],0
d1,1,0.317291,1.000082,[3 1] ; [122 123],[2.00803213 1.99196787] ; [122.99196787 122.00803213],0
b1,1,0.374389,0.789045,[3 1] ; [129 116],[2.12048193 1.87951807] ; [129.87951807 115.12048193],0
b3,1,0.4575,0.552003,[2 2] ; [41 86],[1.3129771 2.6870229] ; [41.6870229 85.3129771],0
b2,1,0.4575,0.552003,[2 2] ; [41 86],[1.3129771 2.6870229] ; [41.6870229 85.3129771],0
p9,1,0.507349,0.43953,[3 1] ; [137  97],[2.35294118 1.64705882] ; [137.64705882  96.35294118],0
p3,1,0.561918,0.336394,[2 2] ; [ 87 155],[1.44715447 2.55284553] ; [ 87.55284553 154.44715447],0
d3,1,0.574395,0.315385,[2 2] ; [154  88],[2.53658537 1.46341463] ; [153.46341463  88.53658537],0
p2,1,0.576889,0.311291,[3 1] ; [149  94],[2.46153846 1.53846154] ; [149.53846154  93.46153846],0
u1,1,0.585038,0.298161,[1 3] ; [ 37 208],[0.61044177 3.38955823] ; [ 37.38955823 207.61044177],0
b5,1,0.597989,0.27804,[2 2] ; [154  91],[2.5060241 1.4939759] ; [153.4939759  91.5060241],0
a3,1,0.657847,0.196149,[3 1] ; [155  86],[2.57959184 1.42040816] ; [155.42040816  85.57959184],0
a7,1,0.73782,0.112052,[3 1] ; [163  80],[2.68825911 1.31174089] ; [163.31174089  79.68825911],0
a6,1,0.741756,0.108589,[2 2] ; [142 102],[2.32258065 1.67741935] ; [141.67741935 102.32258065],0
a4,1,0.759987,0.093329,[2 2] ; [103 140],[1.70040486 2.29959514] ; [103.29959514 139.70040486],0
v2,1,0.778569,0.079065,[2 2] ; [101 134],[1.72384937 2.27615063] ; [101.27615063 133.72384937],0
p7,1,0.8407,0.0404,[2 2] ; [107 131],[1.80165289 2.19834711] ; [107.19834711 130.80165289],0
s5,1,0.861001,0.03066,[1 3] ; [ 67 164],[1.15744681 2.84255319] ; [ 66.84255319 164.15744681],0
a2,1,0.887463,0.020026,[1 3] ; [ 54 191],[0.88353414 3.11646586] ; [ 54.11646586 190.88353414],0
d4,1,0.996244,2.2e-05,[3 1] ; [182  61],[2.99595142 1.00404858] ; [182.00404858  60.99595142],0
