Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,29.024943,[ 26 114] ; [34 26],[42. 98.] ; [18. 42.],1
p7,1,6.2e-05,16.047966,[ 31 105] ; [31 29],[43.02040816 92.97959184] ; [18.97959184 41.02040816],1
p8,1,0.000147,14.404239,[ 22 120] ; [24 36],[ 32.33663366 109.66336634] ; [13.66336634 46.33663366],1
p6,1,0.000368,12.686012,[ 17 124] ; [20 40],[ 25.95522388 115.04477612] ; [11.04477612 48.95522388],1
p10,1,0.021107,5.317963,[68 71] ; [40 20],[75.43718593 63.56281407] ; [32.56281407 27.43718593],0
p11,1,0.036396,4.378469,[70 73] ; [39 21],[76.78325123 66.21674877] ; [32.21674877 27.78325123],0
p9,1,0.073521,3.202614,[72 64] ; [40 20],[77.71428571 58.28571429] ; [34.28571429 25.71428571],0
p5,1,0.166992,1.909737,[  7 133] ; [ 6 52],[  9.19191919 130.80808081] ; [ 3.80808081 54.19191919],0
p1,1,0.712991,0.135308,[ 12 131] ; [ 6 54],[ 12.67980296 130.32019704] ; [ 5.32019704 54.67980296],0
p12,1,0.776584,0.080527,[  8 134] ; [ 4 56],[  8.43564356 133.56435644] ; [ 3.56435644 56.43564356],0
b1,1,0.891502,0.018606,[70 73] ; [30 30],[70.44334975 72.55665025] ; [29.55665025 30.44334975],0
