Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.051243,3.800327,[15 28] ; [24 19],[19.5 23.5] ; [19.5 23.5],0
p6,1,0.135344,2.230116,[23 88] ; [31 74],[27.75 83.25] ; [26.25 78.75],0
s8,1,0.213266,1.549118,[25 89] ; [31 75],[29.01818182 84.98181818] ; [26.98181818 79.01818182],0
p7,1,0.213505,1.547498,[45 67] ; [51 54],[49.5483871 62.4516129] ; [46.4516129 58.5483871],0
v4,1,0.232851,1.423358,[94 19] ; [95 12],[97.07727273 15.92272727] ; [91.92272727 15.07727273],0
r3,1,0.247763,1.335874,[97 15] ; [97  9],[99.66972477 12.33027523] ; [94.33027523 11.66972477],0
a7,1,0.248921,1.329348,[75 37] ; [63 43],[70.89908257 41.10091743] ; [67.10091743 38.89908257],0
n4,1,0.251241,1.316387,[67 45] ; [72 35],[71.08675799 40.91324201] ; [67.91324201 39.08675799],0
u4,1,0.282983,1.152709,[  1 113] ; [  3 104],[  2.06334842 111.93665158] ; [  1.93665158 105.06334842],0
n3,1,0.329546,0.950681,[28 16] ; [28 10],[30.04878049 13.95121951] ; [25.95121951 12.04878049],0
p2,1,0.33055,0.946742,[74 40] ; [76 31],[77.37556561 36.62443439] ; [72.62443439 34.37556561],0
r4,1,0.364696,0.821658,[87 27] ; [87 20],[89.75565611 24.24434389] ; [84.24434389 22.75565611],0
n2,1,0.372276,0.796055,[30 15] ; [28  9],[31.82926829 13.17073171] ; [26.17073171 10.82926829],0
s1,1,0.404146,0.695955,[  7 104] ; [  4 101],[  5.65277778 105.34722222] ; [ 5.34722222 99.65277778],0
s5,1,0.431876,0.617774,[21 90] ; [24 79],[23.3411215 87.6588785] ; [21.6588785 81.3411215],0
a6,1,0.434049,0.611966,[74 40] ; [64 43],[71.18552036 42.81447964] ; [66.81447964 40.18552036],0
b4,1,0.459122,0.548034,[68 46] ; [69 38],[70.66968326 43.33031674] ; [66.33031674 40.66968326],0
p1,1,0.470252,0.521383,[  8 105] ; [  5 100],[  6.73853211 106.26146789] ; [ 6.26146789 98.73853211],0
b5,1,0.47359,0.513587,[66 48] ; [67 40],[68.60633484 45.39366516] ; [64.39366516 42.60633484],0
a2,1,0.490161,0.476173,[21 93] ; [16 91],[19.08597285 94.91402715] ; [17.91402715 89.08597285],0
n6,1,0.500409,0.45407,[76 35] ; [77 29],[78.26267281 32.73732719] ; [74.73732719 31.26267281],0
u2,1,0.509676,0.434733,[17 25] ; [20 22],[18.5 23.5] ; [18.5 23.5],0
d3,1,0.510427,0.433192,[71 43] ; [62 45],[68.60633484 45.39366516] ; [64.39366516 42.60633484],0
s6,1,0.526989,0.400193,[50 64] ; [51 55],[52.33636364 61.66363636] ; [48.66363636 57.33636364],0
a3,1,0.528053,0.398136,[71 40] ; [64 43],[68.73853211 42.26146789] ; [66.26146789 40.73853211],0
v2,1,0.568547,0.32512,[48 63] ; [49 55],[50.07906977 60.92093023] ; [46.92093023 57.07906977],0
u1,1,0.585583,0.297295,[19 95] ; [15 92],[17.53846154 96.46153846] ; [16.46153846 90.53846154],0
r1,1,0.586505,0.295835,[79 33] ; [79 28],[80.80365297 31.19634703] ; [77.19634703 29.80365297],0
p12,1,0.599598,0.275603,[  2 111] ; [  3 103],[  2.57990868 110.42009132] ; [  2.42009132 103.57990868],0
s3,1,0.60517,0.267269,[51 59] ; [45 60],[49.11627907 60.88372093] ; [46.88372093 58.11627907],0
a8,1,0.613102,0.255682,[12 87] ; [14 82],[13.2 85.8] ; [12.8 83.2],0
p8,1,0.633854,0.22687,[35 77] ; [36 69],[36.64516129 75.35483871] ; [34.35483871 70.64516129],0
v1,1,0.643675,0.213968,[41 70] ; [42 63],[42.65277778 68.34722222] ; [40.34722222 64.65277778],0
p9,1,0.647424,0.209163,[44 67] ; [44 59],[45.64485981 65.35514019] ; [42.35514019 60.64485981],0
b2,1,0.675141,0.175647,[26 51] ; [22 50],[24.80536913 52.19463087] ; [23.19463087 48.80536913],0
b3,1,0.675141,0.175647,[26 51] ; [22 50],[24.80536913 52.19463087] ; [23.19463087 48.80536913],0
a5,1,0.685253,0.164272,[67 47] ; [60 47],[65.51131222 48.48868778] ; [61.48868778 45.51131222],0
p3,1,0.694144,0.154636,[28 85] ; [29 78],[29.27727273 83.72272727] ; [27.72272727 79.27727273],0
s4,1,0.69926,0.149243,[16 97] ; [13 92],[15.03211009 97.96788991] ; [13.96788991 91.03211009],0
