Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,23.867208,[13  3] ; [25 89],[ 4.67692308 11.32307692] ; [33.32307692 80.67692308],1
p5,1,2e-05,18.168129,[ 5 10] ; [  4 110],[ 1.04651163 13.95348837] ; [  7.95348837 106.04651163],1
p12,1,3.6e-05,17.054284,[ 4 12] ; [  2 111],[ 0.74418605 15.25581395] ; [  5.25581395 107.74418605],1
b3,1,0.000461,12.26664,[13  3] ; [26 51],[6.70967742 9.29032258] ; [32.29032258 44.70967742],1
b2,1,0.000461,12.26664,[13  3] ; [26 51],[6.70967742 9.29032258] ; [32.29032258 44.70967742],1
d1,1,0.000499,12.119378,[15  1] ; [54 60],[8.49230769 7.50769231] ; [60.50769231 53.49230769],1
s2,1,0.000684,11.53244,[12  4] ; [35 77],[ 5.875 10.125] ; [41.125 70.875],1
s7,1,0.000761,11.334634,[12  4] ; [35 76],[ 5.92125984 10.07874016] ; [41.07874016 69.92125984],1
a2,1,0.000771,11.310855,[9 7] ; [21 93],[ 3.69230769 12.30769231] ; [26.30769231 87.69230769],1
v3,1,0.000838,11.155329,[9 3] ; [30 79],[3.8677686 8.1322314] ; [35.1322314 73.8677686],1
v1,1,0.00098,10.864166,[11  2] ; [41 70],[5.4516129 7.5483871] ; [46.5483871 64.4516129],1
s6,1,0.001077,10.691059,[14  2] ; [50 64],[7.87692308 8.12307692] ; [56.12307692 57.87692308],0
p3,1,0.001949,9.59699,[10  6] ; [28 85],[ 4.71317829 11.28682171] ; [33.28682171 79.71317829],0
n5,1,0.003344,8.609698,[15  1] ; [62 50],[9.625 6.375] ; [67.375 44.625],0
d2,1,0.006393,7.436001,[14  2] ; [58 55],[8.93023256 7.06976744] ; [63.06976744 49.93023256],0
s3,1,0.009107,6.801786,[13  3] ; [51 59],[8.12698413 7.87301587] ; [55.87301587 54.12698413],0
a4,1,0.009859,6.660216,[12  4] ; [46 67],[7.19379845 8.80620155] ; [50.80620155 62.19379845],0
u1,1,0.011206,6.432292,[7 9] ; [19 95],[ 3.2 12.8] ; [22.8 91.2],0
p4,1,0.013215,6.140071,[11  5] ; [41 72],[6.4496124 9.5503876] ; [45.5503876 67.4496124],0
a3,1,0.017205,5.675313,[15  1] ; [71 40],[10.83464567  5.16535433] ; [75.16535433 35.83464567],0
v2,1,0.021299,5.302198,[10  3] ; [48 63],[6.08064516 6.91935484] ; [51.91935484 59.08064516],0
a5,1,0.026385,4.930603,[14  2] ; [67 47],[9.96923077 6.03076923] ; [71.03076923 42.96923077],0
n4,1,0.031678,4.615858,[14  2] ; [67 45],[10.125  5.875] ; [70.875 41.125],0
n6,1,0.035927,4.400576,[15  1] ; [76 35],[11.46456693  4.53543307] ; [79.53543307 31.46456693],0
p6,1,0.042613,4.110687,[7 9] ; [23 88],[ 3.77952756 12.22047244] ; [26.22047244 84.77952756],0
a1,1,0.046577,3.960599,[ 3 13] ; [  6 108],[ 1.10769231 14.89230769] ; [  7.89230769 106.10769231],0
p8,1,0.0489,3.878788,[9 7] ; [35 77],[ 5.5 10.5] ; [38.5 73.5],0
n1,1,0.083825,2.989132,[3 1] ; [14 30],[1.41666667 2.58333333] ; [15.58333333 28.41666667],0
d5,1,0.116118,2.468912,[14  2] ; [78 36],[11.32307692  4.67692308] ; [80.67692308 33.32307692],0
d3,1,0.137281,2.208176,[13  3] ; [71 43],[10.33846154  5.66153846] ; [73.66153846 40.33846154],0
p7,1,0.144771,2.126504,[9 6] ; [45 67],[6.37795276 8.62204724] ; [47.62204724 64.37795276],0
r1,1,0.154424,2.028001,[14  2] ; [79 33],[11.625  4.375] ; [81.375 30.625],0
v4,1,0.274526,1.193992,[15  1] ; [94 19],[13.51937984  2.48062016] ; [95.48062016 17.51937984],0
a8,1,0.275513,1.18909,[ 3 10] ; [12 87],[ 1.74107143 11.25892857] ; [13.25892857 85.74107143],0
s5,1,0.394855,0.723938,[ 4 10] ; [21 90],[ 2.8 11.2] ; [22.2 88.8],0
b5,1,0.407983,0.684672,[11  5] ; [66 48],[9.47692308 6.52307692] ; [67.52307692 46.47692308],0
s4,1,0.421737,0.64547,[ 1 14] ; [16 97],[ 1.9921875 13.0078125] ; [15.0078125 97.9921875],0
a6,1,0.424552,0.63768,[12  4] ; [74 40],[10.58461538  5.41538462] ; [75.41538462 38.58461538],0
n2,1,0.50216,0.450368,[2 2] ; [30 15],[2.6122449 1.3877551] ; [29.3877551 15.6122449],0
n3,1,0.589639,0.290909,[2 2] ; [28 16],[2.5 1.5] ; [27.5 16.5],0
p2,1,0.762528,0.091303,[11  5] ; [74 40],[10.46153846  5.53846154] ; [74.53846154 39.46153846],0
b4,1,0.795558,0.067133,[9 7] ; [68 46],[9.47692308 6.52307692] ; [67.52307692 46.47692308],0
a7,1,0.886841,0.02025,[11  5] ; [75 37],[10.75  5.25] ; [75.25 36.75],0
p1,1,0.902962,0.014864,[ 1 15] ; [  8 105],[ 1.11627907 14.88372093] ; [  7.88372093 105.11627907],0
s1,1,0.993085,7.5e-05,[ 1 15] ; [  7 104],[ 1.00787402 14.99212598] ; [  6.99212598 104.00787402],0
