Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,2e-06,22.202642,[  4 103] ; [5 7],[ 8.09243697 98.90756303] ; [ 0.90756303 11.09243697],1
s8,1,8e-06,19.955162,[31 75] ; [12  1],[38.30252101 67.69747899] ; [4.69747899 8.30252101],1
b3,1,2.9e-05,17.496439,[22 50] ; [12  1],[28.8 43.2] ; [5.2 7.8],1
b2,1,2.9e-05,17.496439,[22 50] ; [12  1],[28.8 43.2] ; [5.2 7.8],1
p12,1,5.3e-05,16.326878,[  3 103] ; [4 9],[ 6.23529412 99.76470588] ; [ 0.76470588 12.23529412],1
a2,1,7.3e-05,15.722502,[16 91] ; [8 5],[21.4 85.6] ; [ 2.6 10.4],1
v3,1,0.000207,13.763561,[30 76] ; [8 1],[35.02608696 70.97391304] ; [2.97391304 6.02608696],1
s7,1,0.000232,13.553066,[33 70] ; [11  2],[39.06896552 63.93103448] ; [4.93103448 8.06896552],1
p3,1,0.000293,13.11508,[29 78] ; [10  3],[34.775 72.225] ; [4.225 8.775],1
s2,1,0.000349,12.789545,[35 70] ; [11  2],[40.93220339 64.06779661] ; [5.06779661 7.93220339],1
s3,1,0.000763,11.327973,[45 60] ; [12  1],[50.72033898 54.27966102] ; [6.27966102 6.72033898],1
p4,1,0.001468,10.118441,[41 66] ; [11  2],[46.36666667 60.63333333] ; [5.63333333 7.36666667],0
d1,1,0.001901,9.643017,[50 57] ; [12  1],[55.28333333 51.71666667] ; [6.71666667 6.28333333],0
v1,1,0.002357,9.248621,[42 63] ; [9 1],[46.56521739 58.43478261] ; [4.43478261 5.56521739],0
s6,1,0.002587,9.078284,[51 55] ; [12  1],[56.11764706 49.88235294] ; [6.88235294 6.11764706],0
a5,1,0.011799,6.340762,[60 47] ; [12  1],[64.2 42.8] ; [7.8 5.2],0
a1,1,0.012006,6.309952,[  5 102] ; [ 3 10],[ 7.13333333 99.86666667] ; [ 0.86666667 12.13333333],0
a4,1,0.014281,6.003093,[44 63] ; [10  3],[48.15 58.85] ; [5.85 7.15],0
p8,1,0.014407,5.987572,[36 69] ; [9 4],[40.04237288 64.95762712] ; [4.95762712 8.04237288],0
d2,1,0.018146,5.582026,[53 53] ; [11  2],[57.00840336 48.99159664] ; [6.99159664 6.00840336],0
u1,1,0.025548,4.986341,[15 92] ; [5 8],[17.83333333 89.16666667] ; [ 2.16666667 10.83333333],0
v2,1,0.046979,3.946154,[49 55] ; [8 2],[52. 52.] ; [5. 5.],0
d3,1,0.062838,3.460838,[62 45] ; [11  2],[65.09166667 41.90833333] ; [7.90833333 5.09166667],0
p6,1,0.076657,3.134382,[31 74] ; [7 6],[33.81355932 71.18644068] ; [4.18644068 8.81355932],0
p7,1,0.159869,1.97546,[51 54] ; [9 4],[53.38983051 51.61016949] ; [6.61016949 6.38983051],0
n4,1,0.201485,1.63158,[72 35] ; [11  2],[74.00833333 32.99166667] ; [8.99166667 4.00833333],0
a8,1,0.206113,1.598524,[14 82] ; [3 7],[15.39622642 80.60377358] ; [1.60377358 8.39622642],0
d5,1,0.223305,1.483003,[73 34] ; [11  2],[74.9 32.1] ; [9.1 3.9],0
a6,1,0.230861,1.435551,[64 43] ; [10  3],[65.98333333 41.01666667] ; [8.01666667 4.98333333],0
p2,1,0.300188,1.073358,[76 31] ; [11  2],[77.575 29.425] ; [9.425 3.575],0
s5,1,0.338724,0.915255,[24 79] ; [4 7],[25.29824561 77.70175439] ; [2.70175439 8.29824561],0
b1,1,0.345531,0.889802,[43 64] ; [7 6],[44.58333333 62.41666667] ; [5.41666667 7.58333333],0
r1,1,0.396503,0.718907,[79 28] ; [11  2],[80.25 26.75] ; [9.75 3.25],0
b4,1,0.45222,0.565082,[69 38] ; [7 6],[67.76666667 39.23333333] ; [8.23333333 4.76666667],0
a7,1,0.495256,0.465088,[63 43] ; [9 4],[64.13445378 41.86554622] ; [7.86554622 5.13445378],0
s1,1,0.512094,0.429786,[  4 101] ; [ 1 12],[  4.44915254 100.55084746] ; [ 0.55084746 12.44915254],0
s4,1,0.621911,0.243191,[13 92] ; [ 1 12],[12.45762712 92.54237288] ; [ 1.54237288 11.45762712],0
p1,1,0.650059,0.205826,[  5 100] ; [ 1 12],[ 5.33898305 99.66101695] ; [ 0.66101695 12.33898305],0
b5,1,0.939549,0.005751,[67 40] ; [8 5],[66.875 40.125] ; [8.125 4.875],0
