Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,29.024943,[34 26] ; [ 26 114],[18. 42.] ; [42. 98.],1
p8,1,6.8e-05,15.858761,[24 35] ; [ 21 120],[13.275 45.725] ; [ 31.725 109.275],1
p6,1,0.000347,12.798104,[20 39] ; [ 17 122],[11.02525253 47.97474747] ; [ 25.97474747 113.02525253],1
p7,1,0.00177,9.774379,[28 31] ; [ 34 103],[18.66326531 40.33673469] ; [43.33673469 93.66326531],0
p11,1,0.016427,5.756628,[40 20] ; [68 73],[32.23880597 27.76119403] ; [75.76119403 65.23880597],0
p5,1,0.018502,5.548007,[ 7 49] ; [  5 135],[ 3.42857143 52.57142857] ; [  8.57142857 131.42857143],0
p9,1,0.036247,4.38544,[41 19] ; [70 64],[34.32989691 25.67010309] ; [76.67010309 57.32989691],0
p10,1,0.068344,3.322363,[38 22] ; [68 70],[32.12121212 27.87878788] ; [73.87878788 64.12121212],0
p1,1,0.200173,1.641114,[ 3 57] ; [ 15 126],[ 5.37313433 54.62686567] ; [ 12.62686567 128.37313433],0
p12,1,0.363019,0.827423,[ 5 55] ; [  7 133],[ 3.6 56.4] ; [  8.4 131.6],0
b1,1,0.431348,0.619192,[27 33] ; [72 69],[29.55223881 30.44776119] ; [69.44776119 71.55223881],0
