Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,30.724138,[13  3] ; [20 96],[ 4. 12.] ; [29. 87.],1
p12,1,2e-06,22.880883,[ 4 12] ; [  1 117],[ 0.59701493 15.40298507] ; [  4.40298507 113.59701493],1
d1,1,0.000192,13.911017,[15  1] ; [52 66],[8. 8.] ; [59. 59.],1
p5,1,0.000198,13.846154,[ 5 10] ; [  6 111],[ 1.25 13.75] ; [  9.75 107.25],1
v1,1,0.000311,13.0,[11  2] ; [39 78],[5. 8.] ; [45. 72.],1
s7,1,0.0004,12.530471,[12  4] ; [32 76],[ 5.67741935 10.32258065] ; [38.32258065 69.67741935],1
v3,1,0.000608,11.752313,[9 3] ; [29 80],[3.76859504 8.23140496] ; [34.23140496 74.76859504],1
b3,1,0.000677,11.550643,[13  3] ; [25 47],[6.90909091 9.09090909] ; [31.09090909 40.90909091],1
b2,1,0.000677,11.550643,[13  3] ; [25 47],[6.90909091 9.09090909] ; [31.09090909 40.90909091],1
s2,1,0.000742,11.381054,[12  4] ; [37 80],[ 5.89473684 10.10526316] ; [43.10526316 73.89473684],1
s6,1,0.001373,10.241379,[14  2] ; [52 64],[8. 8.] ; [58. 58.],0
d2,1,0.002124,9.43918,[14  2] ; [54 62],[8.24242424 7.75757576] ; [59.75757576 56.24242424],0
u1,1,0.002652,9.03237,[7 9] ; [ 16 102],[ 2.74626866 13.25373134] ; [20.25373134 97.74626866],0
v2,1,0.003159,8.713352,[10  3] ; [40 75],[5.078125 7.921875] ; [44.921875 70.078125],0
n6,1,0.003168,8.708012,[15  1] ; [64 52],[9.57575758 6.42424242] ; [69.42424242 46.57575758],0
a2,1,0.003459,8.548002,[9 7] ; [26 92],[ 4.17910448 11.82089552] ; [30.82089552 87.17910448],0
n5,1,0.0038,8.377197,[15  1] ; [65 51],[9.6969697 6.3030303] ; [70.3030303 45.6969697],0
s3,1,0.005662,7.654877,[13  3] ; [51 64],[7.81679389 8.18320611] ; [56.18320611 58.81679389],0
a3,1,0.007085,7.251252,[15  1] ; [68 47],[10.13740458  5.86259542] ; [72.86259542 42.13740458],0
p8,1,0.009653,6.697928,[9 7] ; [29 87],[ 4.60606061 11.39393939] ; [33.39393939 82.60606061],0
a4,1,0.011346,6.410345,[12  4] ; [48 68],[7.27272727 8.72727273] ; [52.72727273 63.27272727],0
p6,1,0.015527,5.855626,[7 9] ; [20 94],[ 3.32307692 12.67692308] ; [23.67692308 90.32307692],0
p4,1,0.017666,5.628927,[11  5] ; [44 73],[6.61654135 9.38345865] ; [48.38345865 68.61654135],0
r1,1,0.029666,4.728555,[14  2] ; [69 47],[10.06060606  5.93939394] ; [72.93939394 43.06060606],0
n4,1,0.029666,4.728555,[14  2] ; [69 47],[10.06060606  5.93939394] ; [72.93939394 43.06060606],0
a5,1,0.033166,4.537193,[14  2] ; [71 47],[10.14925373  5.85074627] ; [74.85074627 43.14925373],0
p3,1,0.034126,4.488363,[10  6] ; [41 76],[6.13533835 9.86466165] ; [44.86466165 72.13533835],0
d3,1,0.066068,3.378101,[13  3] ; [67 50],[9.62406015 6.37593985] ; [70.37593985 46.62406015],0
p7,1,0.071085,3.257784,[9 6] ; [42 75],[5.79545455 9.20454545] ; [45.20454545 71.79545455],0
v4,1,0.093404,2.814706,[15  1] ; [87 29],[12.36363636  3.63636364] ; [89.63636364 26.36363636],0
p2,1,0.12478,2.356267,[11  5] ; [57 61],[8.11940299 7.88059701] ; [59.88059701 58.11940299],0
d5,1,0.129214,2.301923,[14  2] ; [81 36],[11.42857143  4.57142857] ; [83.57142857 33.42857143],0
a6,1,0.139535,2.183081,[12  4] ; [65 52],[9.26315789 6.73684211] ; [67.73684211 49.26315789],0
a8,1,0.174731,1.841875,[ 3 10] ; [11 96],[ 1.51666667 11.48333333] ; [12.48333333 94.51666667],0
s5,1,0.192781,1.696239,[ 4 10] ; [17 97],[ 2.296875 11.703125] ; [18.703125 95.296875],0
a1,1,0.24729,1.338547,[ 3 13] ; [ 11 107],[ 1.67164179 14.32835821] ; [ 12.32835821 105.67164179],0
n1,1,0.25105,1.317453,[3 1] ; [24 29],[1.89473684 2.10526316] ; [25.10526316 27.89473684],0
s4,1,0.298568,1.080579,[ 1 14] ; [20 97],[ 2.38636364 12.61363636] ; [18.61363636 98.38636364],0
a7,1,0.53369,0.387361,[11  5] ; [71 46],[9.86466165 6.13533835] ; [72.13533835 44.86466165],0
b5,1,0.637929,0.221461,[11  5] ; [74 44],[10.14925373  5.85074627] ; [74.85074627 43.14925373],0
s1,1,0.679821,0.170327,[ 1 15] ; [ 11 106],[ 1.44360902 14.55639098] ; [ 10.55639098 106.44360902],0
p1,1,0.686331,0.163086,[ 1 15] ; [ 11 107],[ 1.43283582 14.56716418] ; [ 10.56716418 107.43283582],0
n3,1,0.849624,0.035948,[2 2] ; [28 23],[2.18181818 1.81818182] ; [27.81818182 23.18181818],0
b4,1,0.879417,0.023015,[9 7] ; [64 54],[8.71641791 7.28358209] ; [64.28358209 53.71641791],0
n2,1,0.886062,0.020532,[2 2] ; [29 25],[2.13793103 1.86206897] ; [28.86206897 25.13793103],0
b1,1,0.916729,0.010932,[9 7] ; [68 50],[9.19402985 6.80597015] ; [67.80597015 50.19402985],0
