Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.005929,7.571815,[42  2] ; [635 178],[34.75845974  9.24154026] ; [642.24154026 170.75845974],0
p11,1,0.008058,7.020442,[40  4] ; [602 224],[32.46896552 11.53103448] ; [609.53103448 216.46896552],0
p10,1,0.013672,6.080049,[40  4] ; [609 209],[33.12761021 10.87238979] ; [615.87238979 202.12761021],0
p3,1,0.063619,3.44043,[25 19] ; [351 473],[19.05990783 24.94009217] ; [356.94009217 467.05990783],0
p6,1,0.138477,2.194799,[18 25] ; [253 561],[13.59743291 29.40256709] ; [257.40256709 556.59743291],0
p1,1,0.158039,1.99289,[ 5 38] ; [ 51 772],[ 2.78060046 40.21939954] ; [ 53.21939954 769.78060046],0
p7,1,0.234953,1.410621,[22 22] ; [476 330],[25.77882353 18.22117647] ; [472.22117647 333.77882353],0
p4,1,0.247596,1.33682,[27 17] ; [431 391],[23.27020785 20.72979215] ; [434.72979215 387.27020785],0
p8,1,0.605305,0.267068,[22 22] ; [375 440],[20.33527357 23.66472643] ; [376.66472643 438.33527357],0
p2,1,0.889648,0.019252,[35  9] ; [649 176],[34.63291139  9.36708861] ; [649.36708861 175.63291139],0
b1,1,0.963352,0.002111,[17 27] ; [322 504],[17.14482759 26.85517241] ; [321.85517241 504.14482759],0
