Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.035774,4.407857,[1 4] ; [9 3],[2.94117647 2.05882353] ; [7.05882353 4.94117647],0
a3,1,0.099232,2.717836,[4 2] ; [15  1],[5.18181818 0.81818182] ; [13.81818182  2.18181818],0
p7,1,0.121335,2.4,[1 4] ; [9 6],[2.5 2.5] ; [7.5 7.5],0
p2,1,0.132391,2.264245,[2 4] ; [11  5],[3.54545455 2.45454545] ; [9.45454545 6.54545455],0
b3,1,0.142715,2.148437,[3 3] ; [13  3],[4.36363636 1.63636364] ; [11.63636364  4.36363636],0
b2,1,0.142715,2.148437,[3 3] ; [13  3],[4.36363636 1.63636364] ; [11.63636364  4.36363636],0
s8,1,0.142715,2.148437,[3 3] ; [13  3],[4.36363636 1.63636364] ; [11.63636364  4.36363636],0
p3,1,0.221099,1.497222,[2 4] ; [10  6],[3.27272727 2.72727273] ; [8.72727273 7.27272727],0
b1,1,0.239559,1.383185,[5 1] ; [9 7],[3.81818182 2.18181818] ; [10.18181818  5.81818182],0
a6,1,0.262193,1.257143,[3 3] ; [12  4],[4.09090909 1.90909091] ; [10.90909091  5.09090909],0
a2,1,0.338352,0.916667,[2 4] ; [9 7],[3. 3.] ; [8. 8.],0
v1,1,0.372374,0.795726,[4 2] ; [11  2],[4.73684211 1.26315789] ; [10.26315789  2.73684211],0
p4,1,0.415522,0.662946,[3 3] ; [11  5],[3.81818182 2.18181818] ; [10.18181818  5.81818182],0
v4,1,0.449102,0.572917,[5 1] ; [15  1],[5.45454545 0.54545455] ; [14.54545455  1.45454545],0
n5,1,0.449102,0.572917,[5 1] ; [15  1],[5.45454545 0.54545455] ; [14.54545455  1.45454545],0
n6,1,0.449102,0.572917,[5 1] ; [15  1],[5.45454545 0.54545455] ; [14.54545455  1.45454545],0
p1,1,0.449102,0.572917,[1 5] ; [ 1 15],[0.54545455 5.45454545] ; [ 1.45454545 14.54545455],0
n2,1,0.465209,0.533333,[3 1] ; [2 2],[2.5 1.5] ; [2.5 1.5],0
n3,1,0.465209,0.533333,[3 1] ; [2 2],[2.5 1.5] ; [2.5 1.5],0
d3,1,0.467267,0.528431,[4 2] ; [13  3],[4.63636364 1.36363636] ; [12.36363636  3.63636364],0
s3,1,0.467267,0.528431,[4 2] ; [13  3],[4.63636364 1.36363636] ; [12.36363636  3.63636364],0
v2,1,0.636982,0.222711,[4 2] ; [10  3],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
a4,1,0.695895,0.152778,[4 2] ; [12  4],[4.36363636 1.63636364] ; [11.63636364  4.36363636],0
s2,1,0.695895,0.152778,[4 2] ; [12  4],[4.36363636 1.63636364] ; [11.63636364  4.36363636],0
s7,1,0.695895,0.152778,[4 2] ; [12  4],[4.36363636 1.63636364] ; [11.63636364  4.36363636],0
p6,1,0.793166,0.06875,[3 3] ; [7 9],[2.72727273 3.27272727] ; [7.27272727 8.72727273],0
p8,1,0.793166,0.06875,[3 3] ; [9 7],[3.27272727 2.72727273] ; [8.72727273 7.27272727],0
u1,1,0.793166,0.06875,[3 3] ; [7 9],[2.72727273 3.27272727] ; [7.27272727 8.72727273],0
b4,1,0.793166,0.06875,[3 3] ; [9 7],[3.27272727 2.72727273] ; [8.72727273 7.27272727],0
s6,1,0.799782,0.064327,[5 1] ; [14  2],[5.18181818 0.81818182] ; [13.81818182  2.18181818],0
a5,1,0.799782,0.064327,[5 1] ; [14  2],[5.18181818 0.81818182] ; [13.81818182  2.18181818],0
a7,1,0.925558,0.00873,[4 2] ; [11  5],[4.09090909 1.90909091] ; [10.90909091  5.09090909],0
b5,1,0.925558,0.00873,[4 2] ; [11  5],[4.09090909 1.90909091] ; [10.90909091  5.09090909],0
n1,1,1.0,0.0,[3 1] ; [3 1],[3. 1.] ; [3. 1.],0
