Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.000541,11.967932,[13  3] ; [134 219],[6.37398374 9.62601626] ; [140.62601626 212.37398374],1
b3,1,0.000541,11.967932,[13  3] ; [134 219],[6.37398374 9.62601626] ; [140.62601626 212.37398374],1
a2,1,0.000657,11.607558,[9 7] ; [123 471],[ 3.46229508 12.53770492] ; [128.53770492 465.46229508],1
a1,1,0.000666,11.582172,[ 3 13] ; [ 18 576],[ 0.55081967 15.44918033] ; [ 20.44918033 573.55081967],1
d2,1,0.000672,11.565485,[14  2] ; [263 327],[7.31353135 8.68646865] ; [269.68646865 320.31353135],1
s8,1,0.000836,11.158603,[13  3] ; [234 356],[6.52145215 9.47854785] ; [240.47854785 349.52145215],1
d1,1,0.003349,8.606666,[15  1] ; [339 255],[9.2852459 6.7147541] ; [344.7147541 249.2852459],0
p5,1,0.003868,8.344736,[ 5 10] ; [ 59 528],[ 1.59468439 13.40531561] ; [ 62.40531561 524.59468439],0
u1,1,0.005215,7.8032,[7 9] ; [100 494],[ 2.80655738 13.19344262] ; [104.19344262 489.80655738],0
a4,1,0.005351,7.756741,[12  4] ; [238 353],[6.58978583 9.41021417] ; [243.41021417 347.58978583],0
v3,1,0.010534,6.542204,[9 3] ; [219 349],[4.71724138 7.28275862] ; [223.28275862 344.71724138],0
p12,1,0.015943,5.809192,[ 4 12] ; [ 47 540],[ 1.35323383 14.64676617] ; [ 49.64676617 537.35323383],0
v1,1,0.017694,5.626214,[11  2] ; [297 281],[6.7749577 6.2250423] ; [301.2250423 276.7749577],0
s7,1,0.017819,5.613846,[12  4] ; [256 312],[7.34246575 8.65753425] ; [260.65753425 307.34246575],0
a3,1,0.024938,5.02816,[15  1] ; [396 193],[10.86942149  5.13057851] ; [400.13057851 188.86942149],0
s3,1,0.025481,4.990903,[13  3] ; [307 272],[8.60504202 7.39495798] ; [311.39495798 267.60504202],0
s2,1,0.030039,4.707074,[12  4] ; [279 308],[7.72139303 8.27860697] ; [283.27860697 303.72139303],0
n5,1,0.049529,3.857326,[15  1] ; [417 167],[11.52  4.48] ; [420.48 163.52],0
n1,1,0.051737,3.784252,[3 1] ; [ 44 105],[1.22875817 2.77124183] ; [ 45.77124183 103.22875817],0
s6,1,0.055256,3.674352,[14  2] ; [375 208],[10.39065109  5.60934891] ; [378.60934891 204.39065109],0
a5,1,0.120752,2.407544,[14  2] ; [412 181],[11.19211823  4.80788177] ; [414.80788177 178.19211823],0
p3,1,0.125033,2.353115,[10  6] ; [255 335],[6.99669967 9.00330033] ; [258.00330033 331.99669967],0
v2,1,0.154594,2.026324,[10  3] ; [326 244],[7.4922813 5.5077187] ; [328.5077187 241.4922813],0
p2,1,0.162744,1.948544,[11  5] ; [485 104],[13.11735537  2.88264463] ; [482.88264463 106.11735537],0
n4,1,0.210114,1.570642,[14  2] ; [434 156],[11.82838284  4.17161716] ; [436.17161716 153.82838284],0
s4,1,0.265402,1.240358,[ 1 14] ; [104 483],[ 2.61627907 12.38372093] ; [102.38372093 484.61627907],0
n2,1,0.266844,1.232901,[2 2] ; [112  38],[2.96103896 1.03896104] ; [111.03896104  38.96103896],0
a8,1,0.274426,1.194489,[ 3 10] ; [ 68 465],[ 1.69047619 11.30952381] ; [ 69.30952381 463.69047619],0
p4,1,0.282332,1.15583,[11  5] ; [323 262],[8.89184692 7.10815308] ; [325.10815308 259.89184692],0
n6,1,0.328597,0.954417,[15  1] ; [497  88],[13.63061564  2.36938436] ; [498.36938436  86.63061564],0
d3,1,0.335091,0.929124,[13  3] ; [415 177],[11.26315789  4.73684211] ; [416.73684211 175.26315789],0
p6,1,0.345779,0.888887,[7 9] ; [189 392],[ 5.25293132 10.74706868] ; [190.74706868 390.25293132],0
r1,1,0.369248,0.806195,[14  2] ; [461 129],[12.54125413  3.45874587] ; [462.45874587 127.54125413],0
n3,1,0.396974,0.717473,[2 2] ; [104  45],[2.77124183 1.22875817] ; [103.22875817  45.77124183],0
d5,1,0.454105,0.560385,[14  2] ; [474 119],[12.82101806  3.17898194] ; [475.17898194 117.82101806],0
b5,1,0.544563,0.367148,[11  5] ; [364 230],[9.83606557 6.16393443] ; [365.16393443 228.83606557],0
s1,1,0.578524,0.308627,[ 1 15] ; [ 21 562],[ 0.58764608 15.41235392] ; [ 21.41235392 561.58764608],0
a7,1,0.606659,0.265068,[11  5] ; [440 151],[11.88797364  4.11202636] ; [439.11202636 151.88797364],0
a6,1,0.622758,0.242011,[12  4] ; [410 182],[11.10526316  4.89473684] ; [410.89473684 181.10526316],0
p8,1,0.665595,0.186798,[9 7] ; [295 286],[8.14740369 7.85259631] ; [295.85259631 285.14740369],0
p1,1,0.734479,0.115039,[ 1 15] ; [ 51 538],[ 1.37520661 14.62479339] ; [ 50.62479339 538.37520661],0
s5,1,0.75558,0.096901,[ 4 10] ; [185 384],[4.53859348 9.46140652] ; [184.46140652 384.53859348],0
b4,1,0.83026,0.045954,[9 7] ; [350 244],[9.41639344 6.58360656] ; [349.58360656 244.41639344],0
p10,1,0.947023,0.004415,[13  3] ; [469 113],[12.89632107  3.10367893] ; [469.10367893 112.89632107],0
v4,1,0.96043,0.002462,[15  1] ; [553  35],[15.04635762  0.95364238] ; [552.95364238  35.04635762],0
p7,1,0.960856,0.002409,[9 6] ; [339 232],[8.90784983 6.09215017] ; [339.09215017 231.90784983],0
