Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.001017,10.797118,[13  3] ; [157 236],[6.65036675 9.34963325] ; [163.34963325 229.65036675],0
b3,1,0.001017,10.797118,[13  3] ; [157 236],[6.65036675 9.34963325] ; [163.34963325 229.65036675],0
d2,1,0.001267,10.389623,[14  2] ; [294 335],[7.64031008 8.35968992] ; [300.35968992 328.64031008],0
a2,1,0.00247,9.1629,[9 7] ; [148 484],[ 3.87654321 12.12345679] ; [153.12345679 478.87654321],0
d1,1,0.006476,7.41273,[15  1] ; [380 252],[9.75308642 6.24691358] ; [385.24691358 246.75308642],0
s8,1,0.006989,7.275864,[13  3] ; [296 332],[7.67701863 8.32298137] ; [301.32298137 326.67701863],0
u1,1,0.007918,7.051915,[7 9] ; [112 520],[ 2.9382716 13.0617284] ; [116.0617284 515.9382716],0
a1,1,0.011864,6.331045,[ 3 13] ; [ 30 602],[ 0.81481481 15.18518519] ; [ 32.18518519 599.81481481],0
a4,1,0.015051,5.910479,[12  4] ; [280 351],[7.22102009 8.77897991] ; [284.77897991 346.22102009],0
v3,1,0.019628,5.444645,[9 3] ; [251 355],[5.04854369 6.95145631] ; [254.95145631 351.04854369],0
p2,1,0.028262,4.811988,[11  5] ; [550  79],[13.91627907  2.08372093] ; [547.08372093  81.91627907],0
p5,1,0.035849,4.404273,[ 5 10] ; [ 88 539],[ 2.1728972 12.8271028] ; [ 90.8271028 536.1728972],0
v1,1,0.046563,3.961109,[11  2] ; [348 262],[7.49117175 5.50882825] ; [351.50882825 258.49117175],0
p12,1,0.052384,3.763476,[ 4 12] ; [ 63 566],[ 1.6620155 14.3379845] ; [ 65.3379845 563.6620155],0
s7,1,0.059505,3.551142,[12  4] ; [311 297],[8.28205128 7.71794872] ; [314.71794872 293.28205128],0
s3,1,0.059676,3.546359,[13  3] ; [358 262],[9.33333333 6.66666667] ; [361.66666667 258.33333333],0
a3,1,0.062278,3.475658,[15  1] ; [460 171],[11.74652241  4.25347759] ; [463.25347759 167.74652241],0
b1,1,0.074001,3.191972,[9 7] ; [219 413],[ 5.62962963 10.37037037] ; [222.37037037 409.62962963],0
s2,1,0.074704,3.176504,[12  4] ; [328 297],[8.48673947 7.51326053] ; [331.51326053 293.48673947],0
s6,1,0.114185,2.495328,[14  2] ; [427 191],[11.12933754  4.87066246] ; [429.87066246 188.12933754],0
n1,1,0.143795,2.136865,[3 1] ; [44 70],[1.59322034 2.40677966] ; [45.40677966 68.59322034],0
n5,1,0.185471,1.753232,[15  1] ; [506 122],[12.94409938  3.05590062] ; [508.05590062 119.94409938],0
v2,1,0.196147,1.670834,[10  3] ; [356 246],[7.73658537 5.26341463] ; [358.26341463 243.73658537],0
n2,1,0.245437,1.349093,[2 2] ; [87 28],[2.99159664 1.00840336] ; [86.00840336 28.99159664],0
n3,1,0.294976,1.096772,[2 2] ; [84 30],[2.91525424 1.08474576] ; [83.08474576 30.91525424],0
a5,1,0.300691,1.071126,[14  2] ; [483 149],[12.27160494  3.72839506] ; [484.72839506 147.27160494],0
s4,1,0.307641,1.040776,[ 1 14] ; [103 521],[ 2.44131455 12.55868545] ; [101.55868545 522.44131455],0
d3,1,0.308922,1.035281,[13  3] ; [438 193],[11.15301391  4.84698609] ; [439.84698609 191.15301391],0
a8,1,0.349848,0.874009,[ 3 10] ; [ 81 500],[ 1.83838384 11.16161616] ; [ 82.16161616 498.83838384],0
s1,1,0.364372,0.822768,[ 1 15] ; [ 16 609],[ 0.42433697 15.57566303] ; [ 16.57566303 608.42433697],0
b5,1,0.40579,0.691102,[11  5] ; [369 263],[9.38271605 6.61728395] ; [370.61728395 261.38271605],0
p7,1,0.460403,0.544914,[9 6] ; [424 191],[10.30952381  4.69047619] ; [422.69047619 192.30952381],0
n4,1,0.477276,0.505082,[14  2] ; [508 124],[12.88888889  3.11111111] ; [509.11111111 122.88888889],0
r1,1,0.487742,0.481504,[14  2] ; [506 122],[12.91925466  3.08074534] ; [507.08074534 120.91925466],0
n6,1,0.495629,0.464282,[15  1] ; [554  74],[14.13664596  1.86335404] ; [554.86335404  73.13664596],0
p3,1,0.530812,0.392837,[10  6] ; [344 286],[8.76780186 7.23219814] ; [345.23219814 284.76780186],0
d5,1,0.564727,0.331586,[14  2] ; [516 114],[13.12693498  2.87306502] ; [516.87306502 113.12693498],0
v4,1,0.592854,0.285909,[15  1] ; [602  23],[15.40093604  0.59906396] ; [601.59906396  23.40093604],0
s5,1,0.613432,0.255208,[ 4 10] ; [214 396],[4.89102564 9.10897436] ; [213.10897436 396.89102564],0
p6,1,0.642612,0.215343,[7 9] ; [237 386],[6.10954617 9.89045383] ; [237.89045383 385.10954617],0
a6,1,0.656646,0.197623,[12  4] ; [440 190],[11.19504644  4.80495356] ; [440.80495356 189.19504644],0
p1,1,0.671619,0.179714,[ 1 15] ; [ 59 571],[ 1.48606811 14.51393189] ; [ 58.51393189 571.48606811],0
a7,1,0.701603,0.146809,[11  5] ; [461 170],[11.67233385  4.32766615] ; [460.32766615 170.67233385],0
p4,1,0.738007,0.111886,[11  5] ; [407 222],[10.36899225  5.63100775] ; [407.63100775 221.36899225],0
p8,1,0.800689,0.063734,[9 7] ; [370 253],[9.48982786 6.51017214] ; [369.51017214 253.48982786],0
b4,1,0.854065,0.033832,[9 7] ; [370 262],[9.35802469 6.64197531] ; [369.64197531 262.35802469],0
