Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.009474,6.731128,[78 39] ; [66 65],[67.93548387 49.06451613] ; [76.06451613 54.93548387],0
u3,1,0.014852,5.933901,[16 29] ; [27 17],[21.74157303 23.25842697] ; [21.25842697 22.74157303],0
d3,1,0.019609,5.446397,[83 34] ; [73 56],[74.19512195 42.80487805] ; [81.80487805 47.19512195],0
p8,1,0.023434,5.136046,[43 72] ; [31 98],[34.87704918 80.12295082] ; [39.12295082 89.87704918],0
a7,1,0.028994,4.767965,[86 30] ; [80 51],[77.95951417 38.04048583] ; [88.04048583 42.95951417],0
r2,1,0.031212,4.641255,[105   8] ; [110  21],[99.56967213 13.43032787] ; [115.43032787  15.56967213],0
p9,1,0.032192,4.588265,[74 38] ; [66 60],[65.88235294 46.11764706] ; [74.11764706 51.88235294],0
r3,1,0.042968,4.09668,[98 17] ; [98 33],[91.62601626 23.37398374] ; [104.37398374  26.62601626],0
a1,1,0.044674,4.030892,[  4 113] ; [ 13 119],[  7.98795181 109.01204819] ; [  9.01204819 122.98795181],0
r4,1,0.051591,3.788986,[91 26] ; [88 44],[84.10843373 32.89156627] ; [94.89156627 37.10843373],0
v2,1,0.065421,3.394324,[54 55] ; [49 81],[46.9748954 62.0251046] ; [56.0251046 73.9748954],0
s7,1,0.101382,2.68366,[39 71] ; [54 63],[45.0660793 64.9339207] ; [47.9339207 69.0660793],0
p3,1,0.112702,2.515916,[36 80] ; [53 77],[41.96747967 74.03252033] ; [47.03252033 82.96747967],0
d1,1,0.181197,1.787777,[64 53] ; [61 71],[58.73493976 58.26506024] ; [66.26506024 65.73493976],0
p10,1,0.189754,1.719525,[62 50] ; [60 68],[56.93333333 55.06666667] ; [65.06666667 62.93333333],0
n1,1,0.221418,1.49516,[15 29] ; [25 29],[17.95918367 26.04081633] ; [22.04081633 31.95918367],0
d2,1,0.222173,1.490278,[53 64] ; [69 61],[57.78947368 59.21052632] ; [64.21052632 65.78947368],0
u1,1,0.266861,1.232812,[21 96] ; [ 17 115],[17.85542169 99.14457831] ; [ 20.14457831 111.85542169],0
p1,1,0.287171,1.132837,[  8 109] ; [ 14 117],[ 10.37903226 106.62096774] ; [ 11.62096774 119.37903226],0
u2,1,0.295109,1.096164,[17 28] ; [21 22],[19.43181818 25.56818182] ; [18.56818182 24.43181818],0
