Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,29.024943,[ 26 114] ; [34 26],[42. 98.] ; [18. 42.],1
p8,1,6.8e-05,15.858761,[ 21 120] ; [24 35],[ 31.725 109.275] ; [13.275 45.725],1
p6,1,0.000347,12.798104,[ 17 122] ; [20 39],[ 25.97474747 113.02525253] ; [11.02525253 47.97474747],1
p7,1,0.00177,9.774379,[ 34 103] ; [28 31],[43.33673469 93.66326531] ; [18.66326531 40.33673469],0
p11,1,0.016427,5.756628,[68 73] ; [40 20],[75.76119403 65.23880597] ; [32.23880597 27.76119403],0
p5,1,0.018502,5.548007,[  5 135] ; [ 7 49],[  8.57142857 131.42857143] ; [ 3.42857143 52.57142857],0
p9,1,0.036247,4.38544,[70 64] ; [41 19],[76.67010309 57.32989691] ; [34.32989691 25.67010309],0
p10,1,0.068344,3.322363,[68 70] ; [38 22],[73.87878788 64.12121212] ; [32.12121212 27.87878788],0
p1,1,0.200173,1.641114,[ 15 126] ; [ 3 57],[ 12.62686567 128.37313433] ; [ 5.37313433 54.62686567],0
p12,1,0.363019,0.827423,[  7 133] ; [ 5 55],[  8.4 131.6] ; [ 3.6 56.4],0
b1,1,0.431348,0.619192,[72 69] ; [27 33],[69.44776119 71.55223881] ; [29.55223881 30.44776119],0
