Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.071804,3.241297,[21 29] ; [30 20],[25.5 24.5] ; [25.5 24.5],0
p6,1,0.129433,2.299287,[20 94] ; [28 80],[24.64864865 89.35135135] ; [23.35135135 84.64864865],0
s8,1,0.205895,1.600059,[20 96] ; [26 82],[23.82142857 92.17857143] ; [22.17857143 85.82142857],0
p7,1,0.233557,1.419067,[42 75] ; [48 62],[46.3876652 70.6123348] ; [43.6123348 66.3876652],0
a7,1,0.250941,1.318057,[71 46] ; [59 52],[66.71052632 50.28947368] ; [63.28947368 47.71052632],0
n4,1,0.262452,1.255778,[69 47] ; [74 37],[73.07488987 42.92511013] ; [69.92511013 41.07488987],0
v4,1,0.368779,0.807776,[87 29] ; [88 22],[89.82300885 26.17699115] ; [85.17699115 24.82300885],0
a6,1,0.402027,0.702254,[65 52] ; [55 55],[61.85022026 55.14977974] ; [58.14977974 51.85022026],0
u4,1,0.418988,0.653152,[  3 115] ; [  5 106],[  4.12227074 113.87772926] ; [  3.87772926 107.12227074],0
s5,1,0.433155,0.614349,[17 97] ; [20 86],[19.17272727 94.82727273] ; [17.82727273 88.17272727],0
b5,1,0.441149,0.593292,[74 44] ; [75 36],[76.77729258 41.22270742] ; [72.22270742 38.77729258],0
p2,1,0.463335,0.537826,[57 61] ; [59 52],[59.77292576 58.22707424] ; [56.22707424 54.77292576],0
n3,1,0.467846,0.527059,[28 23] ; [28 17],[29.75 21.25] ; [26.25 18.75],0
d3,1,0.492158,0.471805,[67 50] ; [58 52],[64.42731278 52.57268722] ; [60.57268722 49.42731278],0
r3,1,0.496171,0.463116,[85 32] ; [85 26],[87.23684211 29.76315789] ; [82.76315789 28.23684211],0
b4,1,0.509943,0.434184,[64 54] ; [65 46],[66.47161572 51.52838428] ; [62.52838428 48.47161572],0
s6,1,0.524519,0.404998,[52 64] ; [53 55],[54.375 61.625] ; [50.625 57.375],0
p12,1,0.525584,0.402922,[  1 117] ; [  2 109],[  1.54585153 116.45414847] ; [  1.45414847 109.54585153],0
u1,1,0.525746,0.402607,[ 16 102] ; [12 99],[ 14.4279476 103.5720524] ; [13.5720524 97.4279476],0
a3,1,0.52608,0.401958,[68 47] ; [61 50],[65.64159292 49.35840708] ; [63.35840708 47.64159292],0
u2,1,0.535923,0.383149,[19 29] ; [22 26],[20.5 27.5] ; [20.5 27.5],0
r4,1,0.546935,0.362836,[72 46] ; [72 39],[74.20087336 43.79912664] ; [69.79912664 41.20087336],0
s1,1,0.549006,0.3591,[ 11 106] ; [  8 103],[  9.75 107.25] ; [  9.25 101.75],0
a2,1,0.559692,0.340237,[26 92] ; [21 90],[24.21834061 93.78165939] ; [22.78165939 88.21834061],0
p1,1,0.575854,0.312985,[ 11 107] ; [  8 102],[  9.83333333 108.16666667] ; [  9.16666667 100.83333333],0
s3,1,0.602144,0.271775,[51 64] ; [45 65],[49.06666667 65.93333333] ; [46.93333333 63.06666667],0
n6,1,0.606641,0.265095,[64 52] ; [65 46],[65.92070485 50.07929515] ; [63.07929515 47.92070485],0
a8,1,0.611667,0.257755,[11 96] ; [13 91],[12.17061611 94.82938389] ; [11.82938389 92.17061611],0
n2,1,0.616219,0.251218,[29 25] ; [27 19],[30.24 23.76] ; [25.76 20.24],0
v2,1,0.621647,0.243559,[40 75] ; [41 67],[41.77130045 73.22869955] ; [39.22869955 68.77130045],0
p3,1,0.661077,0.192218,[41 76] ; [42 69],[42.59210526 74.40789474] ; [40.40789474 70.59210526],0
p8,1,0.667202,0.184893,[29 87] ; [30 79],[30.41777778 85.58222222] ; [28.58222222 80.41777778],0
v1,1,0.66817,0.18375,[39 78] ; [40 71],[40.53947368 76.46052632] ; [38.46052632 72.53947368],0
b2,1,0.672274,0.178954,[25 47] ; [21 46],[23.82733813 48.17266187] ; [22.17266187 44.82733813],0
b3,1,0.672274,0.178954,[25 47] ; [21 46],[23.82733813 48.17266187] ; [22.17266187 44.82733813],0
r1,1,0.679358,0.17085,[69 47] ; [69 42],[70.51982379 45.48017621] ; [67.48017621 43.51982379],0
a5,1,0.69937,0.149129,[71 47] ; [64 47],[69.56331878 48.43668122] ; [65.43668122 45.56331878],0
p9,1,0.732392,0.116927,[32 83] ; [32 75],[33.15315315 81.84684685] ; [30.84684685 76.15315315],0
s2,1,0.746493,0.104502,[37 80] ; [37 73],[38.14096916 78.85903084] ; [35.85903084 74.14096916],0
p4,1,0.752651,0.099317,[44 73] ; [44 67],[45.15789474 71.84210526] ; [42.84210526 68.15789474],0
s4,1,0.761087,0.092448,[20 97] ; [17 92],[19.15486726 97.84513274] ; [17.84513274 91.15486726],0
d4,1,0.775504,0.081329,[81 35] ; [78 31],[81.97333333 34.02666667] ; [77.02666667 31.97333333],0
n1,1,0.800243,0.064025,[24 29] ; [22 24],[24.62626263 28.37373737] ; [21.37373737 24.62626263],0
d2,1,0.810034,0.057783,[54 62] ; [49 60],[53.10222222 62.89777778] ; [49.89777778 59.10222222],0
n5,1,0.870044,0.026766,[65 51] ; [61 50],[64.3876652 51.6123348] ; [61.6123348 49.3876652],0
r2,1,0.873094,0.025514,[94 21] ; [89 21],[93.53333333 21.46666667] ; [89.46666667 20.53333333],0
d1,1,0.899944,0.015808,[52 66] ; [48 63],[51.52838428 66.47161572] ; [48.47161572 62.52838428],0
v3,1,0.901024,0.015467,[29 80] ; [29 77],[29.40465116 79.59534884] ; [28.59534884 77.40465116],0
p5,1,0.912556,0.012059,[  6 111] ; [  6 104],[  6.18502203 110.81497797] ; [  5.81497797 104.18502203],0
a1,1,0.934625,0.006728,[ 11 107] ; [ 10 101],[ 10.8209607 107.1790393] ; [ 10.1790393 100.8209607],0
a4,1,0.946656,0.004476,[48 68] ; [46 64],[48.24778761 67.75221239] ; [45.75221239 64.24778761],0
s7,1,0.953473,0.003404,[32 76] ; [30 70],[32.19230769 75.80769231] ; [29.80769231 70.19230769],0
d5,1,0.981807,0.00052,[81 36] ; [76 34],[80.92070485 36.07929515] ; [76.07929515 33.92070485],0
