Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.019098,5.492515,[3 3] ; [15 92],[0.95575221 5.04424779] ; [17.04424779 89.95575221],0
b1,1,0.037477,4.328609,[5 1] ; [43 64],[2.54867257 3.45132743] ; [45.45132743 61.54867257],0
p9,1,0.051883,3.779533,[5 1] ; [44 59],[2.69724771 3.30275229] ; [46.30275229 56.69724771],0
p2,1,0.051998,3.775822,[2 4] ; [76 31],[4.14159292 1.85840708] ; [73.85840708 33.14159292],0
s7,1,0.081637,3.032015,[4 2] ; [33 70],[2.03669725 3.96330275] ; [34.96330275 68.03669725],0
n1,1,0.093138,2.819283,[3 1] ; [12 25],[1.46341463 2.53658537] ; [13.53658537 23.46341463],0
s6,1,0.093235,2.81761,[5 1] ; [51 55],[3. 3.] ; [53. 53.],0
s2,1,0.096221,2.767094,[4 2] ; [35 70],[2.10810811 3.89189189] ; [36.89189189 68.10810811],0
n5,1,0.162161,1.953962,[5 1] ; [58 49],[3.34513274 2.65486726] ; [59.65486726 47.34513274],0
a5,1,0.188707,1.727686,[5 1] ; [60 47],[3.45132743 2.54867257] ; [61.54867257 45.45132743],0
v1,1,0.197179,1.663144,[4 2] ; [42 63],[2.48648649 3.51351351] ; [43.51351351 61.48648649],0
p1,1,0.209753,1.573129,[1 5] ; [  5 100],[0.32432432 5.67567568] ; [ 5.67567568 99.32432432],0
p7,1,0.211213,1.563092,[1 4] ; [51 54],[2.36363636 2.63636364] ; [49.63636364 55.36363636],0
a4,1,0.218026,1.517318,[4 2] ; [44 63],[2.54867257 3.45132743] ; [45.45132743 61.54867257],0
a2,1,0.23124,1.433215,[2 4] ; [16 91],[0.95575221 5.04424779] ; [17.04424779 89.95575221],0
s3,1,0.25332,1.3049,[4 2] ; [45 60],[2.64864865 3.35135135] ; [46.35135135 58.64864865],0
s8,1,0.282088,1.157005,[3 3] ; [31 75],[1.82142857 4.17857143] ; [32.17857143 73.82142857],0
p6,1,0.289933,1.119933,[3 3] ; [31 74],[1.83783784 4.16216216] ; [32.16216216 72.83783784],0
b3,1,0.326807,0.961509,[3 3] ; [22 50],[1.92307692 4.07692308] ; [23.07692308 48.92307692],0
b2,1,0.326807,0.961509,[3 3] ; [22 50],[1.92307692 4.07692308] ; [23.07692308 48.92307692],0
v2,1,0.351367,0.868514,[4 2] ; [49 55],[2.89090909 3.10909091] ; [50.10909091 53.89090909],0
p8,1,0.432922,0.614973,[3 3] ; [36 69],[2.10810811 3.89189189] ; [36.89189189 68.10810811],0
b4,1,0.472684,0.515695,[3 3] ; [69 38],[3.82300885 2.17699115] ; [68.17699115 38.82300885],0
n6,1,0.565064,0.331012,[5 1] ; [77 29],[4.39285714 1.60714286] ; [77.60714286 28.39285714],0
p4,1,0.567959,0.32611,[3 3] ; [41 66],[2.33628319 3.66371681] ; [41.66371681 65.33628319],0
a6,1,0.634005,0.226669,[3 3] ; [64 43],[3.55752212 2.44247788] ; [63.44247788 43.55752212],0
d3,1,0.673148,0.177942,[4 2] ; [62 45],[3.50442478 2.49557522] ; [62.49557522 44.50442478],0
v4,1,0.68382,0.165858,[5 1] ; [95 12],[5.30973451 0.69026549] ; [94.69026549 12.30973451],0
v3,1,0.68596,0.163494,[1 4] ; [30 76],[1.3963964 3.6036036] ; [29.6036036 76.3963964],0
a7,1,0.725171,0.123592,[4 2] ; [63 43],[3.58928571 2.41071429] ; [63.41071429 42.58928571],0
a3,1,0.738602,0.11136,[4 2] ; [64 43],[3.61061947 2.38938053] ; [64.38938053 42.61061947],0
p3,1,0.73925,0.110787,[2 4] ; [29 78],[1.6460177 4.3539823] ; [29.3539823 77.6460177],0
b5,1,0.841675,0.039901,[4 2] ; [67 40],[3.7699115 2.2300885] ; [67.2300885 39.7699115],0
u3,1,0.871503,0.026163,[1 1] ; [24 19],[1.11111111 0.88888889] ; [23.88888889 19.11111111],0
u2,1,0.947487,0.004338,[1 1] ; [20 22],[0.95454545 1.04545455] ; [20.04545455 21.95454545],0
n3,1,0.954599,0.003241,[3 1] ; [28 10],[2.95238095 1.04761905] ; [28.04761905  9.95238095],0
n2,1,0.976152,0.000894,[3 1] ; [28  9],[3.02439024 0.97560976] ; [27.97560976  9.02439024],0
