Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1e-06,24.571822,[457  61] ; [41 22],[444.  74.] ; [54.  9.],1
p11,1,6e-06,20.635306,[438  84] ; [38 25],[424.73846154  97.26153846] ; [51.26153846 11.73846154],1
p10,1,1.5e-05,18.801466,[447  71] ; [41 22],[435.08433735  82.91566265] ; [52.91566265 10.08433735],1
p4,1,3e-05,17.404175,[371 150] ; [28 34],[356.567753 164.432247] ; [42.432247 19.567753],1
p8,1,0.000438,12.364307,[357 160] ; [29 33],[344.66666667 172.33333333] ; [41.33333333 20.66666667],1
b1,1,0.056213,3.645737,[208 314] ; [33 30],[215.04615385 306.95384615] ; [25.95384615 37.04615385],0
p3,1,0.10364,2.648615,[317 205] ; [31 31],[311.05479452 210.94520548] ; [36.94520548 25.05479452],0
p6,1,0.2564,1.288093,[252 264] ; [26 37],[247.75129534 268.24870466] ; [30.24870466 32.75129534],0
p1,1,0.448539,0.574342,[ 48 472] ; [ 4 59],[ 46.38078902 473.61921098] ; [ 5.61921098 57.38078902],0
p5,1,0.510773,0.432483,[ 76 445] ; [ 7 54],[ 74.30068729 446.69931271] ; [ 8.69931271 52.30068729],0
p12,1,0.597037,0.279488,[ 43 477] ; [ 4 59],[ 41.92109777 478.07890223] ; [ 5.07890223 57.92109777],0
