Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,4.6e-05,16.619303,[12  1] ; [17 39],[5.46376812 7.53623188] ; [23.53623188 32.46376812],1
b3,1,4.6e-05,16.619303,[12  1] ; [17 39],[5.46376812 7.53623188] ; [23.53623188 32.46376812],1
p5,1,0.000229,13.58072,[5 7] ; [  9 112],[ 1.26315789 10.73684211] ; [ 12.73684211 108.26315789],1
p12,1,0.000248,13.430688,[4 9] ; [  5 117],[ 0.86666667 12.13333333] ; [  8.13333333 113.86666667],1
s8,1,0.001466,10.120512,[12  1] ; [56 66],[6.54814815 6.45185185] ; [61.45185185 60.54814815],0
v3,1,0.001915,9.62963,[8 1] ; [44 77],[3.6 5.4] ; [48.4 72.6],0
a2,1,0.002782,8.945317,[8 5] ; [28 94],[3.46666667 9.53333333] ; [32.53333333 89.46666667],0
s3,1,0.008012,7.030826,[12  1] ; [66 56],[7.51111111 5.48888889] ; [70.48888889 51.51111111],0
p3,1,0.008316,6.964086,[10  3] ; [47 74],[5.52985075 7.47014925] ; [51.47014925 69.52985075],0
v1,1,0.011311,6.415827,[9 1] ; [59 63],[5.15151515 4.84848485] ; [62.84848485 59.15151515],0
a1,1,0.012589,6.225905,[ 3 10] ; [  6 116],[ 0.86666667 12.13333333] ; [  8.13333333 113.86666667],0
p4,1,0.013917,6.04862,[11  2] ; [59 62],[6.79104478 6.20895522] ; [63.20895522 57.79104478],0
d1,1,0.014215,6.011189,[12  1] ; [70 52],[7.8962963 5.1037037] ; [74.1037037 47.8962963],0
p8,1,0.023633,5.121375,[9 4] ; [45 77],[5.2 7.8] ; [48.8 73.2],0
s7,1,0.025975,4.957658,[11  2] ; [59 54],[7.22222222 5.77777778] ; [62.77777778 50.22222222],0
a4,1,0.028944,4.770918,[10  3] ; [55 67],[6.25925926 6.74074074] ; [58.74074074 63.25925926],0
d2,1,0.030357,4.688973,[11  2] ; [65 57],[7.31851852 5.68148148] ; [68.68148148 53.31851852],0
a8,1,0.04333,4.08247,[3 7] ; [10 99],[1.09243697 8.90756303] ; [11.90756303 97.09243697],0
a5,1,0.055031,3.681137,[12  1] ; [81 41],[8.95555556 4.04444444] ; [84.04444444 37.95555556],0
s2,1,0.056686,3.631778,[11  2] ; [70 52],[7.8 5.2] ; [73.2 48.8],0
u1,1,0.06476,3.411069,[5 8] ; [ 21 101],[ 2.5037037 10.4962963] ; [23.4962963 98.5037037],0
s6,1,0.068933,3.308252,[12  1] ; [81 38],[9.15909091 3.84090909] ; [83.84090909 35.15909091],0
v2,1,0.076105,3.146188,[8 2] ; [60 58],[5.3125 4.6875] ; [62.6875 55.3125],0
n4,1,0.180065,1.797091,[11  2] ; [81 41],[8.85925926 4.14074074] ; [83.14074074 38.85925926],0
s4,1,0.184985,1.757116,[ 1 12] ; [29 93],[ 2.88888889 10.11111111] ; [27.11111111 94.88888889],0
a6,1,0.25013,1.322576,[10  3] ; [74 48],[8.08888889 4.91111111] ; [75.91111111 46.08888889],0
p6,1,0.257236,1.283574,[7 6] ; [46 76],[5.1037037 7.8962963] ; [47.8962963 74.1037037],0
d3,1,0.267856,1.227692,[11  2] ; [84 36],[9.28571429 3.71428571] ; [85.71428571 34.28571429],0
p7,1,0.341301,0.905538,[9 4] ; [66 53],[7.38636364 5.61363636] ; [67.61363636 51.38636364],0
p2,1,0.449594,0.571675,[11  2] ; [91 30],[9.89552239 3.10447761] ; [92.10447761 28.89552239],0
r1,1,0.573401,0.317026,[11  2] ; [95 27],[10.20740741  2.79259259] ; [95.79259259 26.20740741],0
d5,1,0.699825,0.148653,[11  2] ; [97 24],[10.47761194  2.52238806] ; [97.52238806 23.47761194],0
s5,1,0.71216,0.136129,[4 7] ; [48 66],[4.576 6.424] ; [47.424 66.576],0
b1,1,0.749077,0.102308,[7 6] ; [60 62],[6.45185185 6.54814815] ; [60.54814815 61.45185185],0
s1,1,0.782709,0.07606,[ 1 12] ; [  7 114],[ 0.7761194 12.2238806] ; [  7.2238806 113.7761194],0
a7,1,0.788733,0.071801,[9 4] ; [88 33],[9.41044776 3.58955224] ; [87.58955224 33.41044776],0
b4,1,0.851387,0.0351,[7 6] ; [69 53],[7.31851852 5.68148148] ; [68.68148148 53.31851852],0
p1,1,0.943068,0.0051,[ 1 12] ; [ 10 111],[ 1.06716418 11.93283582] ; [  9.93283582 111.06716418],0
b5,1,0.957342,0.002861,[8 5] ; [76 46],[8.08888889 4.91111111] ; [75.91111111 46.08888889],0
