Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,7.4e-05,15.696752,[12  1] ; [ 63 110],[5.24193548 7.75806452] ; [ 69.75806452 103.24193548],1
b3,1,7.4e-05,15.696752,[12  1] ; [ 63 110],[5.24193548 7.75806452] ; [ 69.75806452 103.24193548],1
v3,1,0.002425,9.196578,[8 1] ; [104 166],[3.61290323 5.38709677] ; [108.38709677 161.61290323],0
s8,1,0.003334,8.614941,[12  1] ; [141 137],[6.83505155 6.16494845] ; [146.16494845 131.83505155],0
a2,1,0.004748,7.972958,[8 5] ; [ 72 207],[3.56164384 9.43835616] ; [ 76.43835616 202.56164384],0
p12,1,0.004869,7.927591,[4 9] ; [ 22 255],[ 1.16551724 11.83448276] ; [ 24.83448276 252.16551724],0
p5,1,0.01307,6.159634,[5 7] ; [ 41 235],[ 1.91666667 10.08333333] ; [ 44.08333333 231.91666667],0
d1,1,0.013918,6.048494,[12  1] ; [162 117],[7.74657534 5.25342466] ; [166.25342466 112.74657534],0
s3,1,0.022585,5.20017,[12  1] ; [167 107],[8.10801394 4.89198606] ; [170.89198606 103.10801394],0
v1,1,0.028546,4.794813,[9 1] ; [148 121],[5.62724014 4.37275986] ; [151.37275986 117.62724014],0
d2,1,0.028798,4.779674,[11  2] ; [150 129],[7.16780822 5.83219178] ; [153.83219178 125.16780822],0
s7,1,0.033929,4.498271,[11  2] ; [145 120],[7.29496403 5.70503597] ; [148.70503597 116.29496403],0
s2,1,0.04021,4.209019,[11  2] ; [154 122],[7.42214533 5.57785467] ; [157.57785467 118.42214533],0
a1,1,0.055676,3.661738,[ 3 10] ; [ 22 257],[ 1.1130137 11.8869863] ; [ 23.8869863 255.1130137],0
s6,1,0.056003,3.651966,[12  1] ; [181  89],[8.86572438 4.13427562] ; [184.13427562  85.86572438],0
a4,1,0.05932,3.556306,[10  3] ; [140 139],[6.67808219 6.32191781] ; [143.32191781 135.67808219],0
u1,1,0.064101,3.427968,[5 8] ; [ 50 229],[ 2.44863014 10.55136986] ; [ 52.55136986 226.44863014],0
v2,1,0.088689,2.898011,[8 2] ; [139 125],[5.3649635 4.6350365] ; [141.6350365 122.3649635],0
d3,1,0.126317,2.337193,[11  2] ; [177 100],[8.42758621 4.57241379] ; [179.57241379  97.42758621],0
a8,1,0.126735,2.332051,[3 7] ; [ 34 226],[1.37037037 8.62962963] ; [ 35.62962963 224.37037037],0
p4,1,0.149011,2.082349,[11  2] ; [182  97],[8.59246575 4.40753425] ; [184.40753425  94.59246575],0
p3,1,0.194105,1.686184,[10  3] ; [163 114],[7.75517241 5.24482759] ; [165.24482759 111.75517241],0
a5,1,0.204657,1.608822,[12  1] ; [216  63],[10.15068493  2.84931507] ; [217.84931507  61.15068493],0
p8,1,0.358175,0.844281,[9 4] ; [156 121],[7.39655172 5.60344828] ; [157.60344828 119.39655172],0
a6,1,0.367431,0.812335,[10  3] ; [180  98],[8.48797251 4.51202749] ; [181.51202749  96.48797251],0
p6,1,0.391105,0.735505,[7 6] ; [115 160],[5.50694444 7.49305556] ; [116.49305556 158.50694444],0
s4,1,0.422725,0.642727,[ 1 12] ; [ 44 232],[ 2.02422145 10.97577855] ; [ 42.97577855 233.02422145],0
s1,1,0.451438,0.567039,[ 1 12] ; [ 10 267],[ 0.49310345 12.50689655] ; [ 10.50689655 266.49310345],0
b5,1,0.565331,0.330557,[8 5] ; [149 130],[6.98972603 6.01027397] ; [150.01027397 128.98972603],0
r1,1,0.649421,0.20663,[11  2] ; [220  57],[10.35517241  2.64482759] ; [220.64482759  56.35517241],0
d5,1,0.649421,0.20663,[11  2] ; [220  57],[10.35517241  2.64482759] ; [220.64482759  56.35517241],0
n4,1,0.678843,0.171431,[11  2] ; [223  56],[10.41780822  2.58219178] ; [223.58219178  55.41780822],0
p1,1,0.837239,0.0422,[ 1 12] ; [ 26 251],[ 1.21034483 11.78965517] ; [ 25.78965517 251.21034483],0
b4,1,0.84307,0.039191,[7 6] ; [158 121],[7.34589041 5.65410959] ; [157.65410959 121.34589041],0
a7,1,0.896864,0.016803,[9 4] ; [187  90],[8.7862069 4.2137931] ; [187.2137931  89.7862069],0
p2,1,0.903389,0.014733,[11  2] ; [230  46],[10.84083045  2.15916955] ; [230.15916955  45.84083045],0
p7,1,0.932499,0.007174,[9 4] ; [192  81],[9.13636364 3.86363636] ; [191.86363636  81.13636364],0
s5,1,0.98168,0.000527,[4 7] ; [ 98 169],[4.03597122 6.96402878] ; [ 97.96402878 169.03597122],0
