Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,26.303293,[122 115] ; [271 106],[151.69543974  85.30456026] ; [241.30456026 135.69543974],1
p7,1,1.1e-05,19.324855,[107 131] ; [237 139],[133.34201954 104.65798046] ; [210.65798046 165.34201954],1
p8,1,1.6e-05,18.634437,[ 71 169] ; [177 199],[ 96.62337662 143.37662338] ; [151.37662338 224.62337662],1
p3,1,0.000105,15.048548,[ 87 155] ; [197 183],[110.49517685 131.50482315] ; [173.50482315 206.49517685],1
p4,1,0.000255,13.37557,[101 140] ; [217 164],[123.21221865 117.78778135] ; [194.78778135 186.21221865],1
n4,1,0.000291,13.129746,[150  93] ; [290  95],[170.25477707  72.74522293] ; [269.74522293 115.25477707],1
p2,1,0.000315,12.979547,[149  94] ; [284  95],[169.16237942  73.83762058] ; [263.83762058 115.16237942],1
n5,1,0.000404,12.514187,[145  97] ; [282 102],[165.07028754  76.92971246] ; [261.92971246 122.07028754],1
p9,1,0.000461,12.265769,[137  97] ; [271 104],[156.76847291  77.23152709] ; [251.23152709 123.76847291],1
r3,1,0.004993,7.881936,[192  50] ; [335  47],[204.38141026  37.61858974] ; [322.61858974  59.38141026],0
s8,1,0.007952,7.044192,[ 76 167] ; [159 221],[ 91.66131621 151.33868379] ; [143.33868379 236.66131621],0
p6,1,0.00899,6.824907,[ 63 175] ; [137 237],[ 77.77777778 160.22222222] ; [122.22222222 251.77777778],0
r4,1,0.013148,6.149068,[175  70] ; [308  77],[187.83333333  57.16666667] ; [295.16666667  89.83333333],0
a5,1,0.013971,6.041808,[152  93] ; [275 110],[166.05555556  78.94444444] ; [260.94444444 124.05555556],0
n6,1,0.014712,5.950586,[156  85] ; [283 100],[169.54967949  71.45032051] ; [269.45032051 113.54967949],0
v1,1,0.028224,4.814327,[ 99 144] ; [188 190],[112.30434783 130.69565217] ; [174.69565217 203.30434783],0
v4,1,0.028894,4.773902,[203  40] ; [342  40],[211.896  31.104] ; [333.104  48.896],0
