Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2e-06,22.854786,[86 25] ; [119 117],[65.57636888 45.42363112] ; [139.42363112  96.57636888],1
p8,1,0.000121,14.78202,[35 76] ; [125 108],[51.62790698 59.37209302] ; [108.37209302 124.62790698],1
p1,1,0.000579,11.843744,[18 93] ; [ 12 224],[  9.59654179 101.40345821] ; [ 20.40345821 215.59654179],1
p2,1,0.002839,8.908103,[82 29] ; [205  31],[91.80691643 19.19308357] ; [195.19308357  40.80691643],0
p12,1,0.012396,6.253313,[ 11 100] ; [  8 229],[  6.06034483 104.93965517] ; [ 12.93965517 224.06034483],0
p6,1,0.01356,6.094588,[26 84] ; [ 87 148],[36.02898551 73.97101449] ; [ 76.97101449 158.02898551],0
p5,1,0.055459,3.668226,[13 96] ; [ 14 221],[  8.55523256 100.44476744] ; [ 18.44476744 216.55523256],0
b1,1,0.136702,2.214699,[51 60] ; [ 89 148],[44.65517241 66.34482759] ; [ 95.34482759 141.65517241],0
p11,1,0.137561,2.205036,[78 33] ; [184  53],[83.56896552 27.43103448] ; [178.43103448  58.56896552],0
p10,1,0.387003,0.748338,[81 29] ; [183  52],[84.17391304 25.82608696] ; [179.82608696  55.17391304],0
p9,1,0.772723,0.083414,[89 21] ; [187  48],[88. 22.] ; [188.  47.],0
