Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.000388,12.586766,[13  3] ; [162 273],[6.20842572 9.79157428] ; [168.79157428 266.20842572],1
b2,1,0.000388,12.586766,[13  3] ; [162 273],[6.20842572 9.79157428] ; [168.79157428 266.20842572],1
d2,1,0.001367,10.249963,[14  2] ; [347 390],[7.67065073 8.32934927] ; [353.32934927 383.67065073],0
a2,1,0.00161,9.948091,[9 7] ; [167 573],[ 3.72486772 12.27513228] ; [172.27513228 567.72486772],0
d1,1,0.005105,7.841857,[15  1] ; [437 303],[9.56613757 6.43386243] ; [442.43386243 297.56613757],0
s8,1,0.005443,7.725949,[13  3] ; [340 396],[7.5106383 8.4893617] ; [345.4893617 390.5106383],0
u1,1,0.005863,7.591793,[7 9] ; [127 613],[ 2.83597884 13.16402116] ; [131.16402116 608.83597884],0
a1,1,0.00659,7.381464,[ 3 13] ; [ 32 708],[ 0.74074074 15.25925926] ; [ 34.25925926 705.74074074],0
a4,1,0.0131,6.155573,[12  4] ; [324 415],[7.1205298 8.8794702] ; [328.8794702 410.1205298],0
v3,1,0.014247,6.007229,[9 3] ; [287 431],[4.86575342 7.13424658] ; [291.13424658 426.86575342],0
p5,1,0.016194,5.781728,[ 5 10] ; [ 91 644],[ 1.92 13.08] ; [ 94.08 640.92],0
p12,1,0.024276,5.074791,[ 4 12] ; [ 64 673],[ 1.44488712 14.55511288] ; [ 66.55511288 670.44488712],0
v1,1,0.033898,4.49985,[11  2] ; [398 324],[7.23401361 5.76598639] ; [401.76598639 320.23401361],0
s3,1,0.048029,3.908962,[13  3] ; [412 317],[9.12751678 6.87248322] ; [415.87248322 313.12751678],0
a3,1,0.052475,3.760553,[15  1] ; [530 208],[11.56498674  4.43501326] ; [533.43501326 204.56498674],0
s7,1,0.055255,3.674375,[12  4] ; [359 348],[8.21023513 7.78976487] ; [362.78976487 344.21023513],0
p2,1,0.063236,3.450422,[11  5] ; [629 107],[13.61702128  2.38297872] ; [626.38297872 109.61702128],0
s2,1,0.077307,3.120619,[12  4] ; [387 347],[8.512 7.488] ; [390.488 343.512],0
s6,1,0.104476,2.635849,[14  2] ; [496 228],[11.02702703  4.97297297] ; [498.97297297 225.02702703],0
b1,1,0.107711,2.587482,[9 7] ; [271 469],[ 5.92592593 10.07407407] ; [274.07407407 465.92592593],0
n1,1,0.119412,2.425022,[3 1] ; [57 98],[1.50943396 2.49056604] ; [58.49056604 96.50943396],0
n5,1,0.124741,2.356758,[15  1] ; [571 164],[12.48468708  3.51531292] ; [573.51531292 161.48468708],0
v2,1,0.159195,1.981861,[10  3] ; [408 302],[7.51590595 5.48409405] ; [410.48409405 299.51590595],0
n2,1,0.226705,1.461413,[2 2] ; [119  37],[3.025 0.975] ; [117.975  38.025],0
a5,1,0.234968,1.410532,[14  2] ; [551 189],[11.95767196  4.04232804] ; [553.04232804 186.95767196],0
s4,1,0.259783,1.269911,[ 1 14] ; [131 602],[ 2.64705882 12.35294118] ; [129.35294118 603.64705882],0
a8,1,0.283792,1.148839,[ 3 10] ; [ 88 592],[ 1.70707071 11.29292929] ; [ 89.29292929 590.70707071],0
n3,1,0.29516,1.095935,[2 2] ; [114  41],[2.91823899 1.08176101] ; [113.08176101  41.91823899],0
d3,1,0.30051,1.071929,[13  3] ; [510 227],[11.11288181  4.88711819] ; [511.88711819 225.11288181],0
n4,1,0.361367,0.833138,[14  2] ; [577 163],[12.50793651  3.49206349] ; [578.49206349 161.50793651],0
n6,1,0.379358,0.772781,[15  1] ; [632 102],[13.80266667  2.19733333] ; [633.19733333 100.80266667],0
p3,1,0.386282,0.750612,[10  6] ; [380 357],[8.28685259 7.71314741] ; [381.71314741 355.28685259],0
b5,1,0.428701,0.62634,[11  5] ; [436 304],[9.46031746 6.53968254] ; [437.53968254 302.46031746],0
s1,1,0.45707,0.55306,[ 1 15] ; [ 22 710],[ 0.49197861 15.50802139] ; [ 22.50802139 709.49197861],0
r1,1,0.459553,0.546982,[14  2] ; [590 147],[12.83399734  3.16600266] ; [591.16600266 145.83399734],0
d5,1,0.542574,0.37079,[14  2] ; [601 136],[13.06772908  2.93227092] ; [601.93227092 135.06772908],0
s5,1,0.556789,0.345295,[ 4 10] ; [258 455],[5.04539202 8.95460798] ; [256.95460798 456.04539202],0
a6,1,0.560582,0.338698,[12  4] ; [503 235],[10.92838196  5.07161804] ; [504.07161804 233.92838196],0
p4,1,0.564935,0.331232,[11  5] ; [454 282],[9.89361702 6.10638298] ; [455.10638298 280.89361702],0
p7,1,0.588125,0.293281,[9 6] ; [480 240],[9.97959184 5.02040816] ; [479.02040816 240.97959184],0
p6,1,0.6168,0.250391,[7 9] ; [275 456],[6.04016064 9.95983936] ; [275.95983936 455.04016064],0
p1,1,0.694883,0.15385,[ 1 15] ; [ 67 670],[ 1.44488712 14.55511288] ; [ 66.55511288 670.44488712],0
a7,1,0.702665,0.145715,[11  5] ; [539 199],[11.67108753  4.32891247] ; [538.32891247 199.67108753],0
v4,1,0.738642,0.111324,[15  1] ; [701  33],[15.27466667  0.72533333] ; [700.72533333  33.27466667],0
b4,1,0.864343,0.029189,[9 7] ; [432 308],[9.33333333 6.66666667] ; [431.66666667 308.33333333],0
p8,1,0.946276,0.004541,[9 7] ; [405 326],[8.86746988 7.13253012] ; [405.13253012 325.86746988],0
