Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,30.454344,[378  13] ; [97 21],[364.88212181  26.11787819] ; [110.11787819   7.88212181],1
p4,1,0.0,27.643644,[325  66] ; [71 47],[304.19646365  86.80353635] ; [91.80353635 26.19646365],1
p8,1,0.001098,10.653842,[268 121] ; [62 56],[253.19526627 135.80473373] ; [76.80473373 41.19526627],0
p5,1,0.003283,8.643326,[ 74 314] ; [  9 109],[ 63.64426877 324.35573123] ; [19.35573123 98.64426877],0
p11,1,0.006528,7.398329,[344  47] ; [92 26],[334.92337917  56.07662083] ; [101.07662083  16.92337917],0
p12,1,0.021545,5.282138,[ 49 340] ; [  6 112],[ 42.19921105 346.80078895] ; [ 12.80078895 105.19921105],0
b1,1,0.092804,2.825049,[163 228] ; [39 79],[155.17092338 235.82907662] ; [46.82907662 71.17092338],0
p2,1,0.214159,1.543086,[349  40] ; [101  17],[345.26627219  43.73372781] ; [104.73372781  13.26627219],0
p1,1,0.267499,1.229527,[ 51 337] ; [ 11 107],[ 47.54150198 340.45849802] ; [ 14.45849802 103.54150198],0
p7,1,0.529701,0.394965,[306  81] ; [87 27],[303.5748503  83.4251497] ; [89.4251497 24.5748503],0
