Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.0,25.665865,[426 107] ; [222 122],[393.82440137 139.17559863] ; [254.17559863  89.82440137],1
p9,1,1e-06,24.963515,[443  81] ; [237 100],[413.84436702 110.15563298] ; [266.15563298  70.84436702],1
p10,1,0.001156,10.559248,[416 110] ; [235 104],[395.86820809 130.13179191] ; [255.13179191  83.86820809],0
p3,1,0.002411,9.206564,[209 323] ; [170 172],[230.69565217 301.30434783] ; [148.30434783 193.69565217],0
p2,1,0.003551,8.500214,[436  96] ; [252  90],[418.7826087 113.2173913] ; [269.2173913  72.7826087],0
p6,1,0.046462,3.964754,[153 372] ; [120 217],[166.27030162 358.72969838] ; [106.72969838 230.27030162],0
p7,1,0.235497,1.407349,[294 222] ; [207 132],[302.35789474 213.64210526] ; [198.64210526 140.35789474],0
p1,1,0.380046,0.770553,[ 31 500] ; [ 25 316],[ 34.10091743 496.89908257] ; [ 21.89908257 319.10091743],0
p8,1,0.42282,0.642463,[248 276] ; [151 188],[242.26651217 281.73348783] ; [156.73348783 182.26651217],0
p4,1,0.65211,0.203251,[275 253] ; [184 159],[278.2456946 249.7543054] ; [180.7543054 162.2456946],0
p12,1,0.963352,0.002111,[ 27 504] ; [ 17 322],[ 26.85517241 504.14482759] ; [ 17.14482759 321.85517241],0
