Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.021032,5.32413,[ 37 208] ; [3 3],[ 39.0438247 205.9561753] ; [0.9561753 5.0438247],0
b1,1,0.136655,2.21523,[129 116] ; [5 1],[130.79681275 114.20318725] ; [3.20318725 2.79681275],0
p2,1,0.165731,1.92114,[149  94] ; [2 4],[147.36144578  95.63855422] ; [3.63855422 2.36144578],0
n1,1,0.166464,1.914502,[39 58] ; [3 1],[40.33663366 56.66336634] ; [1.66336634 2.33663366],0
s6,1,0.183041,1.772759,[134 105] ; [5 1],[135.59591837 103.40408163] ; [3.40408163 2.59591837],0
s7,1,0.187863,1.734297,[ 89 134] ; [4 2],[ 90.56331878 132.43668122] ; [2.43668122 3.56331878],0
p6,1,0.20005,1.642012,[ 63 175] ; [3 3],[ 64.37704918 173.62295082] ; [1.62295082 4.37704918],0
v1,1,0.202717,1.622689,[ 99 144] ; [4 2],[100.51807229 142.48192771] ; [2.48192771 3.51807229],0
p9,1,0.222588,1.487607,[137  97] ; [5 1],[138.45  95.55] ; [3.55 2.45],0
a4,1,0.235295,1.408563,[103 140] ; [4 2],[104.42168675 138.57831325] ; [2.57831325 3.42168675],0
n5,1,0.246479,1.343153,[145  97] ; [5 1],[146.37096774  95.62903226] ; [3.62903226 2.37096774],0
v2,1,0.247873,1.33525,[101 134] ; [4 2],[102.38589212 132.61410788] ; [2.61410788 3.38589212],0
p7,1,0.266356,1.23542,[107 131] ; [1 4],[105.77777778 132.22222222] ; [2.22222222 2.77777778],0
s2,1,0.275605,1.188638,[108 136] ; [4 2],[109.312 134.688] ; [2.688 3.312],0
p8,1,0.281438,1.160131,[ 71 169] ; [3 3],[ 72.19512195 167.80487805] ; [1.80487805 4.19512195],0
a5,1,0.287032,1.13349,[152  93] ; [5 1],[153.24701195  91.75298805] ; [3.75298805 2.24701195],0
s8,1,0.330294,0.947744,[ 76 167] ; [3 3],[ 77.09638554 165.90361446] ; [1.90361446 4.09638554],0
n6,1,0.344745,0.892707,[156  85] ; [5 1],[157.08906883  83.91093117] ; [3.91093117 2.08906883],0
b3,1,0.367438,0.812309,[41 86] ; [3 3],[42.01503759 84.98496241] ; [1.98496241 4.01503759],0
b2,1,0.367438,0.812309,[41 86] ; [3 3],[42.01503759 84.98496241] ; [1.98496241 4.01503759],0
s3,1,0.375182,0.786429,[117 125] ; [4 2],[118.07258065 123.92741935] ; [2.92741935 3.07258065],0
p1,1,0.491139,0.47403,[ 21 223] ; [1 5],[ 21.472 222.528] ; [0.528 5.472],0
a2,1,0.511561,0.430874,[ 54 191] ; [2 4],[ 54.66135458 190.33864542] ; [1.33864542 4.66135458],0
v3,1,0.566939,0.32783,[ 75 159] ; [1 4],[ 74.41004184 159.58995816] ; [1.58995816 3.41004184],0
n3,1,0.611912,0.2574,[60 36] ; [3 1],[60.48 35.52] ; [2.52 1.48],0
n2,1,0.642347,0.215686,[63 36] ; [3 1],[63.4368932 35.5631068] ; [2.5631068 1.4368932],0
a6,1,0.687768,0.161512,[142 102] ; [3 3],[141.52 102.48] ; [3.48 2.52],0
p4,1,0.691721,0.157228,[101 140] ; [3 3],[101.47368421 139.52631579] ; [2.52631579 3.47368421],0
b4,1,0.803998,0.061592,[135 110] ; [3 3],[134.70119522 110.29880478] ; [3.29880478 2.70119522],0
b5,1,0.848607,0.036441,[154  91] ; [4 2],[154.22310757  90.77689243] ; [3.77689243 2.22310757],0
u2,1,0.858602,0.031739,[38 49] ; [1 1],[38.12359551 48.87640449] ; [0.87640449 1.12359551],0
d3,1,0.878799,0.023254,[154  88] ; [4 2],[154.17741935  87.82258065] ; [3.82258065 2.17741935],0
p3,1,0.89497,0.017429,[ 87 155] ; [2 4],[ 86.84677419 155.15322581] ; [2.15322581 3.84677419],0
a3,1,0.905437,0.014113,[155  86] ; [4 2],[155.13765182  85.86234818] ; [3.86234818 2.13765182],0
u3,1,0.97464,0.001011,[43 45] ; [1 1],[43.02222222 44.97777778] ; [0.97777778 1.02222222],0
a7,1,0.983095,0.000449,[163  80] ; [4 2],[162.97590361  80.02409639] ; [4.02409639 1.97590361],0
v4,1,0.989289,0.00018,[203  40] ; [5 1],[202.98795181  40.01204819] ; [5.01204819 0.98795181],0
