Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,9.9e-05,15.159374,[12  1] ; [ 64 108],[5.34054054 7.65945946] ; [ 70.65945946 101.34054054],1
b3,1,9.9e-05,15.159374,[12  1] ; [ 64 108],[5.34054054 7.65945946] ; [ 70.65945946 101.34054054],1
s8,1,0.001776,9.767768,[12  1] ; [126 137],[6.5 6.5] ; [131.5 131.5],0
v3,1,0.002691,9.006184,[8 1] ; [100 157],[3.65413534 5.34586466] ; [104.34586466 152.65413534],0
a2,1,0.003895,8.332174,[8 5] ; [ 67 199],[3.49462366 9.50537634] ; [ 71.50537634 194.49462366],0
p12,1,0.004025,8.272706,[4 9] ; [ 20 241],[ 1.13868613 11.86131387] ; [ 22.86131387 238.13868613],0
s7,1,0.011349,6.40977,[11  2] ; [123 130],[6.54887218 6.45112782] ; [127.45112782 125.54887218],0
d1,1,0.012721,6.207571,[12  1] ; [153 113],[7.68817204 5.31182796] ; [157.31182796 108.68817204],0
s3,1,0.014063,6.030209,[12  1] ; [151 109],[7.76190476 5.23809524] ; [155.23809524 104.76190476],0
d2,1,0.016989,5.697555,[11  2] ; [135 131],[6.80286738 6.19713262] ; [139.19713262 126.80286738],0
s2,1,0.017062,5.690008,[11  2] ; [133 129],[6.80727273 6.19272727] ; [137.19272727 124.80727273],0
p5,1,0.017932,5.60276,[5 7] ; [ 41 222],[2.00727273 9.99272727] ; [ 43.99272727 219.00727273],0
v1,1,0.028914,4.772737,[9 1] ; [141 115],[5.63909774 4.36090226] ; [144.36090226 111.63909774],0
s6,1,0.03267,4.562999,[12  1] ; [162  94],[8.40892193 4.59107807] ; [165.59107807  90.40892193],0
a1,1,0.037394,4.332381,[ 3 10] ; [ 19 247],[ 1.02508961 11.97491039] ; [ 20.97491039 245.02508961],0
a4,1,0.052921,3.746415,[10  3] ; [131 134],[6.59352518 6.40647482] ; [134.40647482 130.59352518],0
u1,1,0.053832,3.717888,[5 8] ; [ 46 220],[ 2.37634409 10.62365591] ; [ 48.62365591 217.37634409],0
d3,1,0.115184,2.481613,[11  2] ; [168  98],[8.34050179 4.65949821] ; [170.65949821  95.34050179],0
v2,1,0.115639,2.475418,[8 2] ; [137 113],[5.57692308 4.42307692] ; [139.42307692 110.57692308],0
p4,1,0.128493,2.310612,[11  2] ; [169  95],[8.44765343 4.55234657] ; [171.55234657  92.44765343],0
a8,1,0.164566,1.931765,[3 7] ; [ 35 213],[1.47286822 8.52713178] ; [ 36.52713178 211.47286822],0
p3,1,0.179619,1.800777,[10  3] ; [153 110],[7.67753623 5.32246377] ; [155.32246377 107.67753623],0
a5,1,0.19686,1.665517,[12  1] ; [205  61],[10.11111111  2.88888889] ; [206.88888889  59.11111111],0
a6,1,0.38762,0.746397,[10  3] ; [173  92],[8.55755396 4.44244604] ; [174.44244604  90.55755396],0
p6,1,0.418885,0.65344,[7 6] ; [110 149],[5.59191176 7.40808824] ; [111.40808824 147.59191176],0
s1,1,0.421225,0.646895,[ 1 12] ; [  9 254],[ 0.47101449 12.52898551] ; [  9.52898551 253.47101449],0
p8,1,0.489672,0.477246,[9 4] ; [155 105],[7.80952381 5.19047619] ; [156.19047619 103.80952381],0
s4,1,0.509142,0.435829,[ 1 12] ; [ 37 224],[ 1.80291971 11.19708029] ; [ 36.19708029 224.80291971],0
d5,1,0.520913,0.412086,[11  2] ; [204  61],[10.05395683  2.94604317] ; [204.94604317  60.05395683],0
r1,1,0.614156,0.254168,[11  2] ; [208  56],[10.27797834  2.72202166] ; [208.72202166  55.27797834],0
b5,1,0.656606,0.197672,[8 5] ; [147 119],[7.22222222 5.77777778] ; [147.77777778 118.22222222],0
a7,1,0.70882,0.139458,[9 4] ; [170  95],[8.3705036 4.6294964] ; [170.6294964  94.3705036],0
s5,1,0.740923,0.109317,[4 7] ; [ 80 173],[3.5 7.5] ; [ 80.5 172.5],0
n4,1,0.7821,0.076498,[11  2] ; [217  49],[10.62365591  2.37634409] ; [217.37634409  48.62365591],0
p2,1,0.788779,0.071769,[11  2] ; [214  48],[10.63636364  2.36363636] ; [214.36363636  47.63636364],0
b4,1,0.814654,0.054955,[7 6] ; [152 114],[7.40860215 5.59139785] ; [151.59139785 114.40860215],0
p7,1,0.864239,0.029234,[9 4] ; [185  74],[9.27205882 3.72794118] ; [184.72794118  74.27205882],0
p1,1,0.931732,0.007339,[ 1 12] ; [ 22 241],[ 1.08333333 11.91666667] ; [ 21.91666667 241.08333333],0
