Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.000144,14.445579,[119 184] ; [12  1],[125.61075949 177.38924051] ; [5.38924051 7.61075949],1
b3,1,0.000144,14.445579,[119 184] ; [12  1],[125.61075949 177.38924051] ; [5.38924051 7.61075949],1
a1,1,0.000239,13.495471,[ 16 469] ; [ 3 10],[ 18.50401606 466.49598394] ; [ 0.49598394 12.50401606],1
s8,1,0.000345,12.807052,[204 277] ; [12  1],[210.31578947 270.68421053] ; [5.68421053 7.31578947],1
a2,1,0.000367,12.693715,[ 99 386] ; [8 5],[104.20682731 380.79317269] ; [ 2.79317269 10.20682731],1
p5,1,0.001018,10.794576,[ 52 426] ; [5 7],[ 55.60408163 422.39591837] ; [ 1.39591837 10.60408163],0
v3,1,0.003292,8.638257,[187 278] ; [8 1],[191.29746835 273.70253165] ; [3.70253165 5.29746835],0
d2,1,0.004585,8.036276,[216 265] ; [11  2],[221.02631579 259.97368421] ; [5.97368421 7.02631579],0
s3,1,0.006462,7.416646,[256 216] ; [12  1],[260.81649485 211.18350515] ; [7.18350515 5.81649485],0
a4,1,0.008688,6.885845,[196 287] ; [10  3],[200.60080645 282.39919355] ; [5.39919355 7.60080645],0
s7,1,0.008913,6.840136,[223 243] ; [11  2],[227.64926931 238.35073069] ; [6.35073069 6.64926931],0
s2,1,0.010703,6.513938,[233 245] ; [11  2],[237.53971487 240.46028513] ; [6.46028513 6.53971487],0
p12,1,0.0127,6.210475,[ 46 433] ; [4 9],[ 48.67886179 430.32113821] ; [ 1.32113821 11.67886179],0
d1,1,0.012956,6.175052,[281 204] ; [12  1],[285.35140562 199.64859438] ; [7.64859438 5.35140562],0
v1,1,0.02536,4.999102,[256 214] ; [9 1],[259.47916667 210.52083333] ; [5.52083333 4.47916667],0
p3,1,0.028869,4.775428,[223 259] ; [10  3],[226.88080808 255.11919192] ; [6.11919192 6.88080808],0
u1,1,0.043403,4.079642,[ 82 403] ; [5 8],[ 84.72891566 400.27108434] ; [ 2.27108434 10.72891566],0
s6,1,0.057675,3.603022,[321 155] ; [12  1],[324.14723926 151.85276074] ; [8.85276074 4.14723926],0
p4,1,0.063177,3.451943,[282 196] ; [11  2],[285.24236253 192.75763747] ; [7.75763747 5.24236253],0
a5,1,0.096272,2.766248,[345 139] ; [12  1],[347.66197183 136.33802817] ; [9.33802817 3.66197183],0
p6,1,0.135246,2.231233,[161 314] ; [7 6],[163.52459016 311.47540984] ; [4.47540984 8.52459016],0
a8,1,0.144905,2.125081,[ 60 376] ; [3 7],[ 61.58744395 374.41255605] ; [1.41255605 8.58744395],0
v2,1,0.18443,1.761561,[277 191] ; [8 2],[279.0376569 188.9623431] ; [5.9623431 4.0376569],0
s1,1,0.253785,1.302349,[ 12 463] ; [ 1 12],[ 12.65368852 462.34631148] ; [ 0.34631148 12.65368852],0
d3,1,0.259974,1.268898,[339 144] ; [11  2],[340.8266129 142.1733871] ; [9.1733871 3.8266129],0
p8,1,0.276951,1.181991,[256 218] ; [9 4],[257.92607803 216.07392197] ; [7.07392197 5.92607803],0
s4,1,0.393285,0.728762,[ 79 398] ; [ 1 12],[ 77.87755102 399.12244898] ; [ 2.12244898 10.87755102],0
n4,1,0.519297,0.415289,[372 111] ; [11  2],[372.96169355 110.03830645] ; [10.03830645  2.96169355],0
a6,1,0.589225,0.291557,[338 145] ; [10  3],[338.87903226 144.12096774] ; [9.12096774 3.87903226],0
b4,1,0.63308,0.227907,[293 192] ; [7 6],[292.1686747 192.8313253] ; [7.8313253 5.1686747],0
p7,1,0.650571,0.205181,[294 172] ; [9 4],[294.77661795 171.22338205] ; [8.22338205 4.77661795],0
r1,1,0.663556,0.189233,[385  98] ; [11  2],[385.62096774  97.37903226] ; [10.37903226  2.62096774],0
a7,1,0.665495,0.186917,[360 123] ; [9 4],[359.32862903 123.67137097] ; [9.67137097 3.32862903],0
d5,1,0.755239,0.097181,[393  91] ; [11  2],[393.43259557  90.56740443] ; [10.56740443  2.43259557],0
p2,1,0.79391,0.068244,[418  62] ; [11  2],[417.68762677  62.31237323] ; [11.31237323  1.68762677],0
p1,1,0.874471,0.024958,[ 43 437] ; [ 1 12],[ 42.83975659 437.16024341] ; [ 1.16024341 11.83975659],0
s5,1,0.88052,0.022593,[160 308] ; [4 7],[160.23382046 307.76617954] ; [3.76617954 7.23382046],0
b5,1,0.958506,0.002707,[295 190] ; [8 5],[295.09036145 189.90963855] ; [7.90963855 5.09036145],0
