Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,8.9e-05,15.359385,[35 70] ; [11  1],[41.28205128 63.71794872] ; [4.71794872 7.28205128],1
s8,1,0.000192,13.909041,[31 75] ; [10  2],[36.83050847 69.16949153] ; [4.16949153 7.83050847],1
s7,1,0.00051,12.079722,[33 70] ; [10  2],[38.51304348 64.48695652] ; [4.48695652 7.51304348],1
p12,1,0.000922,10.978015,[  3 103] ; [3 9],[  5.38983051 100.61016949] ; [ 0.61016949 11.38983051],1
p9,1,0.001316,10.319916,[44 59] ; [11  1],[49.26086957 53.73913043] ; [5.73913043 6.26086957],0
s3,1,0.001344,10.281292,[45 60] ; [11  1],[50.25641026 54.74358974] ; [5.74358974 6.25641026],0
p5,1,0.002995,8.81031,[  4 103] ; [3 9],[  6.29411765 100.70588235] ; [ 0.70588235 11.29411765],0
a2,1,0.003021,8.794528,[16 91] ; [6 6],[19.78151261 87.21848739] ; [2.21848739 9.78151261],0
b3,1,0.003138,8.725502,[22 50] ; [9 3],[26.57142857 45.42857143] ; [4.42857143 7.57142857],0
b2,1,0.003138,8.725502,[22 50] ; [9 3],[26.57142857 45.42857143] ; [4.42857143 7.57142857],0
p3,1,0.00499,7.883041,[29 78] ; [8 4],[33.26890756 73.73109244] ; [3.73109244 8.26890756],0
d2,1,0.006034,7.540027,[53 53] ; [11  1],[57.49152542 48.50847458] ; [6.50847458 5.49152542],0
n5,1,0.012666,6.21517,[58 49] ; [11  1],[62.04201681 44.95798319] ; [6.95798319 5.04201681],0
p4,1,0.014639,5.959429,[41 66] ; [9 3],[44.95798319 62.04201681] ; [5.04201681 6.95798319],0
u1,1,0.01515,5.898933,[15 92] ; [5 7],[17.98319328 89.01680672] ; [2.01680672 9.98319328],0
s6,1,0.020665,5.354837,[51 55] ; [10  2],[54.79661017 51.20338983] ; [6.20338983 5.79661017],0
a4,1,0.02515,5.013496,[44 63] ; [9 3],[47.65546218 59.34453782] ; [5.34453782 6.65546218],0
p8,1,0.028256,4.812382,[36 69] ; [8 4],[39.48717949 65.51282051] ; [4.51282051 7.48717949],0
p6,1,0.0435,4.075847,[31 74] ; [7 5],[34.1025641 70.8974359] ; [3.8974359 8.1025641],0
v1,1,0.066782,3.36039,[42 63] ; [7 3],[44.73913043 60.26086957] ; [4.26086957 5.73913043],0
a5,1,0.068861,3.309969,[60 47] ; [10  2],[62.94117647 44.05882353] ; [7.05882353 4.94117647],0
n4,1,0.0813,3.038715,[72 35] ; [11  1],[74.6302521 32.3697479] ; [8.3697479 3.6302521],0
d5,1,0.09103,2.856062,[73 34] ; [11  1],[75.52941176 31.47058824] ; [8.47058824 3.52941176],0
n1,1,0.093138,2.819283,[12 25] ; [3 1],[13.53658537 23.46341463] ; [1.46341463 2.53658537],0
p1,1,0.099511,2.713358,[  5 100] ; [ 2 10],[ 6.28205128 98.71794872] ; [ 0.71794872 11.28205128],0
a3,1,0.111111,2.538351,[64 43] ; [10  2],[66.53781513 40.46218487] ; [7.46218487 4.53781513],0
b4,1,0.122167,2.389312,[69 38] ; [5 7],[66.53781513 40.46218487] ; [7.46218487 4.53781513],0
n6,1,0.15142,2.057888,[77 29] ; [11  1],[79.05084746 26.94915254] ; [8.94915254 3.05084746],0
v2,1,0.16678,1.911655,[49 55] ; [7 3],[51.0877193 52.9122807] ; [4.9122807 5.0877193],0
r1,1,0.172378,1.86214,[79 28] ; [11  1],[80.92436975 26.07563025] ; [9.07563025 2.92436975],0
v3,1,0.195816,1.673307,[30 76] ; [4 4],[31.61403509 74.38596491] ; [2.38596491 5.61403509],0
n2,1,0.270896,1.212203,[28  9] ; [2 2],[27.07317073  9.92682927] ; [2.92682927 1.07317073],0
n3,1,0.318587,0.994737,[28 10] ; [2 2],[27.14285714 10.85714286] ; [2.85714286 1.14285714],0
p2,1,0.363986,0.824094,[76 31] ; [7 5],[74.6302521 32.3697479] ; [8.3697479 3.6302521],0
s1,1,0.462957,0.538737,[  4 101] ; [ 1 11],[  4.48717949 100.51282051] ; [ 0.51282051 11.48717949],0
d3,1,0.560441,0.338941,[62 45] ; [8 4],[62.94117647 44.05882353] ; [7.05882353 4.94117647],0
a1,1,0.582657,0.301959,[  5 102] ; [ 1 11],[  5.39495798 101.60504202] ; [ 0.60504202 11.39495798],0
a8,1,0.619196,0.247,[14 82] ; [ 1 10],[13.45794393 82.54205607] ; [1.54205607 9.45794393],0
a7,1,0.627625,0.235296,[63 43] ; [8 4],[63.77966102 42.22033898] ; [7.22033898 4.77966102],0
a6,1,0.645135,0.212088,[64 43] ; [8 4],[64.7394958 42.2605042] ; [7.2605042 4.7394958],0
s4,1,0.682352,0.167491,[13 92] ; [ 1 11],[12.56410256 92.43589744] ; [ 1.43589744 10.56410256],0
v4,1,0.761557,0.092074,[95 12] ; [11  1],[95.31092437 11.68907563] ; [10.68907563  1.31092437],0
b5,1,0.771697,0.08419,[67 40] ; [7 5],[66.53781513 40.46218487] ; [7.46218487 4.53781513],0
s5,1,0.812824,0.056067,[24 79] ; [2 8],[23.69911504 79.30088496] ; [2.30088496 7.69911504],0
p7,1,0.843968,0.038738,[51 54] ; [5 6],[50.68965517 54.31034483] ; [5.31034483 5.68965517],0
u3,1,0.871503,0.026163,[24 19] ; [1 1],[23.88888889 19.11111111] ; [1.11111111 0.88888889],0
u2,1,0.947487,0.004338,[20 22] ; [1 1],[20.04545455 21.95454545] ; [0.95454545 1.04545455],0
