Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,144.039904,[ 61 183] ; [341 133],[136.61281337 107.38718663] ; [265.38718663 208.61281337],1
p6,1,0.0,80.060618,[ 36 209] ; [230 242],[ 90.89260809 154.10739191] ; [175.10739191 296.89260809],1
p4,1,0.0,61.015603,[103 143] ; [342 135],[151.41078838  94.58921162] ; [293.58921162 183.41078838],1
p3,1,0.0,56.727882,[ 78 167] ; [293 184],[125.8933518 119.1066482] ; [245.1066482 231.8933518],1
p2,1,0.0,48.370728,[179  67] ; [438  38],[210.22437673  35.77562327] ; [406.77562327  69.22437673],1
p10,1,4.7e-05,16.580213,[191  54] ; [424  51],[209.27083333  35.72916667] ; [405.72916667  69.27083333],1
p5,1,9.5e-05,15.228334,[ 14 229] ; [ 76 401],[ 30.375 212.625] ; [ 59.625 417.375],1
p9,1,0.008938,6.835113,[202  41] ; [428  48],[212.92072323  30.07927677] ; [417.07927677  58.92072323],0
b1,1,0.02307,5.163248,[ 74 172] ; [185 294],[ 87.88137931 158.11862069] ; [171.11862069 307.88137931],0
p1,1,0.401223,0.704658,[ 19 226] ; [ 46 431],[ 22.0567867 222.9432133] ; [ 42.9432133 434.0567867],0
p12,1,0.920306,0.01001,[ 22 222] ; [ 44 432],[ 22.36666667 221.63333333] ; [ 43.63333333 432.36666667],0
