Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.009073,6.808343,[3 3] ; [ 28 191],[0.82666667 5.17333333] ; [ 30.17333333 188.82666667],0
p9,1,0.01152,6.38331,[5 1] ; [ 71 141],[2.09174312 3.90825688] ; [ 73.90825688 138.09174312],0
s7,1,0.053577,3.725828,[4 2] ; [ 61 144],[1.84834123 4.15165877] ; [ 63.15165877 141.84834123],0
s6,1,0.065875,3.382938,[5 1] ; [ 98 118],[2.78378378 3.21621622] ; [100.21621622 115.78378378],0
s2,1,0.069363,3.298025,[4 2] ; [ 68 148],[1.94594595 4.05405405] ; [ 70.05405405 145.94594595],0
b1,1,0.091322,2.850918,[5 1] ; [106 113],[2.96 3.04] ; [108.04 110.96],0
s8,1,0.110603,2.54558,[3 3] ; [ 48 168],[1.37837838 4.62162162] ; [ 49.62162162 166.37837838],0
p6,1,0.116479,2.464042,[3 3] ; [ 48 165],[1.39726027 4.60273973] ; [ 49.60273973 163.39726027],0
v1,1,0.119505,2.423795,[4 2] ; [ 77 139],[2.18918919 3.81081081] ; [ 78.81081081 137.18918919],0
n1,1,0.143818,2.136628,[3 1] ; [33 53],[1.6 2.4] ; [34.4 51.6],0
n5,1,0.159483,1.979117,[5 1] ; [118  99],[3.30941704 2.69058296] ; [119.69058296  97.30941704],0
v2,1,0.188113,1.732336,[4 2] ; [ 85 128],[2.43835616 3.56164384] ; [ 86.56164384 126.43835616],0
p2,1,0.192976,1.694752,[2 4] ; [131  88],[3.54666667 2.45333333] ; [129.45333333  89.54666667],0
a4,1,0.199938,1.64283,[4 2] ; [ 88 129],[2.47533632 3.52466368] ; [ 89.52466368 127.47533632],0
a5,1,0.206181,1.598039,[5 1] ; [126  93],[3.49333333 2.50666667] ; [127.50666667  91.49333333],0
s3,1,0.248772,1.330185,[4 2] ; [ 92 122],[2.61818182 3.38181818] ; [ 93.38181818 120.61818182],0
p8,1,0.261805,1.259186,[3 3] ; [ 62 153],[1.76470588 4.23529412] ; [ 63.23529412 151.76470588],0
n6,1,0.306586,1.045326,[5 1] ; [136  80],[3.81081081 2.18918919] ; [137.18918919  78.81081081],0
p7,1,0.315604,1.007078,[1 4] ; [ 92 125],[2.09459459 2.90540541] ; [ 90.90540541 126.09459459],0
a2,1,0.350014,0.873408,[2 4] ; [ 40 179],[1.12 4.88] ; [ 40.88 178.12],0
b3,1,0.354212,0.858312,[3 3] ; [44 94],[1.95833333 4.04166667] ; [45.04166667 92.95833333],0
b2,1,0.354212,0.858312,[3 3] ; [44 94],[1.95833333 4.04166667] ; [45.04166667 92.95833333],0
p1,1,0.361094,0.834086,[1 5] ; [ 15 202],[0.43049327 5.56950673] ; [ 15.56950673 201.43049327],0
p4,1,0.537391,0.380397,[3 3] ; [ 82 136],[2.27678571 3.72321429] ; [ 82.72321429 135.27678571],0
n2,1,0.601171,0.273233,[3 1] ; [54 33],[2.50549451 1.49450549] ; [54.49450549 32.50549451],0
n3,1,0.608813,0.261906,[3 1] ; [53 32],[2.51685393 1.48314607] ; [53.48314607 31.51685393],0
b4,1,0.645424,0.211718,[3 3] ; [130  89],[3.54666667 2.45333333] ; [129.45333333  89.54666667],0
d3,1,0.648346,0.207992,[4 2] ; [125  93],[3.45535714 2.54464286] ; [125.54464286  92.45535714],0
a6,1,0.702983,0.145388,[3 3] ; [126  92],[3.45535714 2.54464286] ; [125.54464286  92.45535714],0
v3,1,0.705925,0.142381,[1 4] ; [ 58 152],[1.37209302 3.62790698] ; [ 57.62790698 152.37209302],0
a3,1,0.71546,0.132884,[4 2] ; [128  88],[3.56756757 2.43243243] ; [128.43243243  87.56756757],0
a7,1,0.738765,0.111215,[4 2] ; [130  87],[3.60538117 2.39461883] ; [130.39461883  86.60538117],0
b5,1,0.83732,0.042158,[4 2] ; [137  82],[3.76 2.24] ; [137.24  81.76],0
u2,1,0.847421,0.037022,[1 1] ; [38 50],[0.86666667 1.13333333] ; [38.13333333 49.86666667],0
p11,1,0.903273,0.014769,[3 3] ; [104 115],[2.85333333 3.14666667] ; [104.14666667 114.85333333],0
p3,1,0.91114,0.012455,[2 4] ; [ 68 150],[1.875 4.125] ; [ 68.125 149.875],0
v4,1,0.912258,0.012142,[5 1] ; [177  40],[4.89686099 1.10313901] ; [177.10313901  39.89686099],0
u3,1,0.963197,0.002129,[1 1] ; [44 47],[0.96774194 1.03225806] ; [44.03225806 46.96774194],0
