Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,1e-06,24.122315,[ 56 436] ; [29 65],[ 71.36518771 420.63481229] ; [13.63481229 80.36518771],1
p12,1,1.5e-05,18.748709,[ 48 445] ; [24 69],[ 60.57337884 432.42662116] ; [11.42662116 81.57337884],1
p8,1,0.003313,8.626391,[325 165] ; [76 17],[337.03259005 152.96740995] ; [63.96740995 29.03259005],0
p3,1,0.007977,7.038654,[336 156] ; [77 17],[346.75085324 145.24914676] ; [66.24914676 27.75085324],0
p9,1,0.020327,5.383625,[436  54] ; [90  3],[442.09262436  47.90737564] ; [83.90737564  9.09262436],0
p6,1,0.025971,4.957919,[247 243] ; [58 34],[256.78694158 233.21305842] ; [48.21305842 43.78694158],0
p10,1,0.077667,3.113049,[425  63] ; [87  6],[430.04475043  57.95524957] ; [81.95524957 11.04475043],0
p7,1,0.159169,1.9821,[371 118] ; [76 16],[376.21858864 112.78141136] ; [70.78141136 21.21858864],0
p11,1,0.416319,0.660681,[408  85] ; [81 13],[410.69335605  82.30664395] ; [78.30664395 15.69335605],0
b1,1,0.665245,0.187215,[198 295] ; [40 54],[199.88756388 293.11243612] ; [38.11243612 55.88756388],0
