Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,0.000548,11.945785,[ 14 461] ; [2 6],[ 15.73498965 459.26501035] ; [0.26501035 7.73498965],1
a8,1,0.002581,9.082395,[ 57 373] ; [3 2],[ 59.31034483 370.68965517] ; [0.68965517 4.31034483],0
b2,1,0.048785,3.88275,[111 165] ; [6 2],[113.70422535 162.29577465] ; [3.29577465 4.70422535],0
b3,1,0.048785,3.88275,[111 165] ; [6 2],[113.70422535 162.29577465] ; [3.29577465 4.70422535],0
a2,1,0.058488,3.579736,[104 371] ; [4 4],[106.21118012 368.78881988] ; [1.78881988 6.21118012],0
d2,1,0.083151,3.002209,[209 263] ; [6 2],[211.41666667 260.58333333] ; [3.58333333 4.41666667],0
s8,1,0.087757,2.915049,[211 261] ; [6 2],[213.38333333 258.61666667] ; [3.61666667 4.38333333],0
v3,1,0.115186,2.481587,[191 266] ; [5 2],[193.04310345 263.95689655] ; [2.95689655 4.04310345],0
u1,1,0.142016,2.155976,[ 83 392] ; [3 5],[ 84.57556936 390.42443064] ; [1.42443064 6.57556936],0
s7,1,0.150186,2.070365,[225 231] ; [6 2],[227.01724138 228.98275862] ; [3.98275862 4.01724138],0
p5,1,0.178616,1.809104,[ 56 416] ; [2 5],[ 57.15240084 414.84759916] ; [0.84759916 6.15240084],0
a4,1,0.223984,1.478664,[195 279] ; [5 3],[196.68049793 277.31950207] ; [3.31950207 4.68049793],0
s3,1,0.257263,1.283428,[257 211] ; [6 2],[258.57983193 209.42016807] ; [4.42016807 3.57983193],0
d3,1,0.352374,0.86489,[345 129] ; [7 1],[346.15767635 127.84232365] ; [5.84232365 2.15767635],0
p4,1,0.398833,0.711843,[284 187] ; [6 2],[285.1565762 185.8434238] ; [4.8434238 3.1565762],0
d1,1,0.408923,0.68193,[288 187] ; [6 2],[289.13043478 185.86956522] ; [4.86956522 3.13043478],0
b5,1,0.462341,0.540222,[296 179] ; [6 2],[296.99792961 178.00207039] ; [5.00207039 2.99792961],0
p7,1,0.543028,0.369957,[298 163] ; [6 2],[298.81449893 162.18550107] ; [5.18550107 2.81449893],0
s2,1,0.548228,0.360502,[244 227] ; [5 3],[244.84133612 226.15866388] ; [4.15866388 3.84133612],0
v2,1,0.565397,0.330445,[277 179] ; [5 2],[277.73650108 178.26349892] ; [4.26349892 2.73650108],0
n4,1,0.587773,0.293836,[366 109] ; [6 1],[366.59751037 108.40248963] ; [5.40248963 1.59751037],0
r1,1,0.731452,0.117782,[381  92] ; [6 1],[381.35625  91.64375] ; [5.64375 1.35625],0
d5,1,0.73195,0.117328,[393  81] ; [7 1],[393.36099585  80.63900415] ; [6.63900415 1.36099585],0
d4,1,0.753434,0.098668,[395  79] ; [7 1],[395.32780083  78.67219917] ; [6.67219917 1.32780083],0
p8,1,0.763186,0.090781,[259 209] ; [4 4],[258.57983193 209.42016807] ; [4.42016807 3.57983193],0
a6,1,0.780181,0.077888,[334 140] ; [6 2],[334.35684647 139.64315353] ; [5.64315353 2.35684647],0
p12,1,0.791547,0.069856,[ 46 428] ; [1 7],[ 46.21991701 427.78008299] ; [0.78008299 7.21991701],0
b4,1,0.84872,0.036386,[281 194] ; [5 3],[281.26293996 193.73706004] ; [4.73706004 3.26293996],0
p3,1,0.915116,0.011361,[228 246] ; [4 4],[228.14937759 245.85062241] ; [3.85062241 4.14937759],0
p6,1,0.918196,0.010549,[168 302] ; [3 5],[168.13807531 301.86192469] ; [2.86192469 5.13807531],0
s5,1,0.924854,0.008896,[164 293] ; [3 5],[164.12688172 292.87311828] ; [2.87311828 5.12688172],0
a7,1,0.93646,0.006355,[362 113] ; [6 2],[361.9047619 113.0952381] ; [6.0952381 1.9047619],0
p2,1,0.947861,0.004276,[411  63] ; [7 1],[411.06224066  62.93775934] ; [6.93775934 1.06224066],0
p11,1,0.963289,0.002118,[413  62] ; [7 1],[413.04347826  61.95652174] ; [6.95652174 1.04347826],0
