Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2.1e-05,18.059965,[26 82] ; [10  2],[32.4 75.6] ; [3.6 8.4],1
p9,1,2.4e-05,17.833897,[32 75] ; [11  1],[38.66386555 68.33613445] ; [4.33613445 7.66386555],1
s2,1,9.3e-05,15.26759,[37 73] ; [11  1],[43.27868852 66.72131148] ; [4.72131148 7.27868852],1
p12,1,0.000111,14.943965,[  2 109] ; [3 9],[  4.51219512 106.48780488] ; [ 0.48780488 11.51219512],1
s7,1,0.000269,13.274074,[30 70] ; [10  2],[35.71428571 64.28571429] ; [4.28571429 7.71428571],1
s3,1,0.000807,11.225444,[45 65] ; [11  1],[50.49180328 59.50819672] ; [5.50819672 6.49180328],1
d2,1,0.002128,9.435805,[49 60] ; [11  1],[54.04958678 54.95041322] ; [5.95041322 6.04958678],0
u1,1,0.003259,8.656249,[12 99] ; [5 7],[15.34146341 95.65853659] ; [ 1.65853659 10.34146341],0
b3,1,0.004109,8.235082,[21 46] ; [9 3],[25.44303797 41.55696203] ; [4.55696203 7.44303797],0
b2,1,0.004109,8.235082,[21 46] ; [9 3],[25.44303797 41.55696203] ; [4.55696203 7.44303797],0
p8,1,0.005557,7.688752,[30 79] ; [8 4],[34.23140496 74.76859504] ; [3.76859504 8.23140496],0
a2,1,0.013471,6.106137,[21 90] ; [6 6],[24.36585366 86.63414634] ; [2.63414634 9.36585366],0
p5,1,0.013912,6.049289,[  6 104] ; [3 9],[  8.1147541 101.8852459] ; [ 0.8852459 11.1147541],0
n5,1,0.014198,6.013342,[61 50] ; [11  1],[64.97560976 46.02439024] ; [7.02439024 4.97560976],0
p11,1,0.015711,5.834901,[43 68] ; [9 3],[46.92682927 64.07317073] ; [5.07317073 6.92682927],0
p4,1,0.018783,5.521649,[44 67] ; [9 3],[47.82926829 63.17073171] ; [5.17073171 6.82926829],0
p6,1,0.019123,5.490196,[28 80] ; [7 5],[31.5 76.5] ; [3.5 8.5],0
s6,1,0.02416,5.083078,[53 55] ; [10  2],[56.7 51.3] ; [6.3 5.7],0
n6,1,0.024945,5.027668,[65 46] ; [11  1],[68.58536585 42.41463415] ; [7.41463415 4.58536585],0
a4,1,0.028267,4.811679,[46 64] ; [9 3],[49.59016393 60.40983607] ; [5.40983607 6.59016393],0
v1,1,0.034806,4.45467,[40 71] ; [7 3],[43.11570248 67.88429752] ; [3.88429752 6.11570248],0
r1,1,0.041733,4.145983,[69 42] ; [11  1],[72.19512195 38.80487805] ; [7.80487805 4.19512195],0
v2,1,0.048491,3.892881,[41 67] ; [7 3],[43.93220339 64.06779661] ; [4.06779661 5.93220339],0
p3,1,0.053426,3.730529,[42 69] ; [8 4],[45.12195122 65.87804878] ; [4.87804878 7.12195122],0
a3,1,0.0587,3.573739,[61 50] ; [10  2],[64.07317073 46.92682927] ; [6.92682927 5.07317073],0
n4,1,0.074993,3.170201,[74 37] ; [11  1],[76.70731707 34.29268293] ; [8.29268293 3.70731707],0
a5,1,0.084368,2.97869,[64 47] ; [10  2],[66.7804878 44.2195122] ; [7.2195122 4.7804878],0
d5,1,0.100635,2.695449,[76 34] ; [11  1],[78.44262295 31.55737705] ; [8.55737705 3.44262295],0
v3,1,0.173318,1.854012,[29 77] ; [4 4],[30.68421053 75.31578947] ; [2.31578947 5.68421053],0
p1,1,0.259982,1.268853,[  8 102] ; [ 2 10],[  9.01639344 100.98360656] ; [ 0.98360656 11.01639344],0
b4,1,0.261639,1.260062,[65 46] ; [5 7],[63.17073171 47.82926829] ; [6.82926829 5.17073171],0
a6,1,0.272627,1.20348,[55 55] ; [8 4],[56.80327869 53.19672131] ; [6.19672131 5.80327869],0
n1,1,0.297147,1.086957,[22 24] ; [3 1],[23. 23.] ; [2. 2.],0
v4,1,0.326522,0.962641,[88 22] ; [11  1],[89.26229508 20.73770492] ; [9.73770492 2.26229508],0
d3,1,0.35751,0.846622,[58 52] ; [8 4],[59.50819672 50.49180328] ; [6.49180328 5.50819672],0
a7,1,0.371868,0.797413,[59 52] ; [8 4],[60.46341463 50.53658537] ; [6.53658537 5.46341463],0
s4,1,0.502186,0.450314,[17 92] ; [ 1 11],[16.21487603 92.78512397] ; [ 1.78512397 10.21487603],0
b5,1,0.519171,0.415541,[75 36] ; [7 5],[74. 37.] ; [8. 4.],0
n3,1,0.630672,0.23115,[28 17] ; [2 2],[27.55102041 17.44897959] ; [2.44897959 1.55102041],0
p2,1,0.732461,0.116864,[59 52] ; [7 5],[59.56097561 51.43902439] ; [6.43902439 5.56097561],0
n2,1,0.73538,0.114229,[27 19] ; [2 2],[26.68 19.32] ; [2.32 1.68],0
a8,1,0.742282,0.108131,[13 91] ; [ 1 10],[12.66086957 91.33913043] ; [1.33913043 9.66086957],0
u3,1,0.777464,0.079877,[30 20] ; [1 1],[29.80769231 20.19230769] ; [1.19230769 0.80769231],0
s1,1,0.88684,0.020251,[  8 103] ; [ 1 11],[  8.12195122 102.87804878] ; [ 0.87804878 11.12195122],0
p7,1,0.907743,0.01343,[48 62] ; [5 6],[48.18181818 61.81818182] ; [4.81818182 6.18181818],0
u2,1,0.907778,0.013419,[22 26] ; [1 1],[22.08 25.92] ; [0.92 1.08],0
s5,1,0.930438,0.00762,[20 86] ; [2 8],[20.10344828 85.89655172] ; [1.89655172 8.10344828],0
a1,1,0.937893,0.006071,[ 10 101] ; [ 1 11],[  9.92682927 101.07317073] ; [ 1.07317073 10.92682927],0
