Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,6e-05,16.113238,[12  1] ; [162 273],[5.04910714 7.95089286] ; [168.95089286 266.04910714],1
b3,1,6e-05,16.113238,[12  1] ; [162 273],[5.04910714 7.95089286] ; [168.95089286 266.04910714],1
s8,1,0.000959,10.904318,[12  1] ; [340 396],[6.10947931 6.89052069] ; [345.89052069 390.10947931],1
a2,1,0.000974,10.876393,[8 5] ; [167 573],[3.02124834 9.97875166] ; [171.97875166 568.02124834],1
a1,1,0.001453,10.136791,[ 3 10] ; [ 32 708],[ 0.60424967 12.39575033] ; [ 34.39575033 705.60424967],0
p5,1,0.002639,9.041669,[5 7] ; [ 91 644],[ 1.54216867 10.45783133] ; [ 94.45783133 640.54216867],0
v3,1,0.002978,8.820855,[8 1] ; [287 431],[3.6519945 5.3480055] ; [291.3480055 426.6519945],0
p12,1,0.005975,7.557679,[4 9] ; [ 64 673],[ 1.17866667 11.82133333] ; [ 66.82133333 670.17866667],0
d2,1,0.007237,7.213079,[11  2] ; [347 390],[6.20533333 6.79466667] ; [351.79466667 385.20533333],0
s3,1,0.009744,6.681158,[12  1] ; [412 317],[7.42857143 5.57142857] ; [416.57142857 312.42857143],0
d1,1,0.015414,5.868518,[12  1] ; [437 303],[7.75166003 5.24833997] ; [441.24833997 298.75166003],0
s7,1,0.015569,5.850874,[11  2] ; [359 348],[6.68055556 6.31944444] ; [363.31944444 343.68055556],0
a4,1,0.017331,5.66259,[10  3] ; [324 415],[5.77393617 7.22606383] ; [328.22606383 410.77393617],0
s2,1,0.022343,5.218871,[11  2] ; [387 347],[6.92637216 6.07362784] ; [391.07362784 342.92637216],0
v1,1,0.027491,4.859679,[9 1] ; [398 324],[5.56010929 4.43989071] ; [401.43989071 320.56010929],0
u1,1,0.045257,4.009021,[5 8] ; [127 613],[ 2.27888446 10.72111554] ; [129.72111554 610.27888446],0
s6,1,0.066096,3.377399,[12  1] ; [496 228],[8.96065129 4.03934871] ; [499.03934871 224.96065129],0
p3,1,0.069607,3.292273,[10  3] ; [380 357],[6.76 6.24] ; [383.24 353.76],0
p4,1,0.091181,2.8534,[11  2] ; [454 282],[8.07076101 4.92923899] ; [456.92923899 279.07076101],0
a8,1,0.113494,2.504886,[3 7] ; [ 88 592],[1.31884058 8.68115942] ; [ 89.68115942 590.31884058],0
a5,1,0.141899,2.15724,[12  1] ; [551 189],[9.71978752 3.28021248] ; [553.28021248 186.71978752],0
v2,1,0.151926,2.052803,[8 2] ; [408 302],[5.77777778 4.22222222] ; [410.22222222 299.77777778],0
b1,1,0.202046,1.627521,[7 6] ; [271 469],[4.79946879 8.20053121] ; [273.20053121 466.79946879],0
d3,1,0.231548,1.431325,[11  2] ; [510 227],[9.03066667 3.96933333] ; [511.96933333 225.03066667],0
p6,1,0.23195,1.428861,[7 6] ; [275 456],[4.92741935 8.07258065] ; [277.07258065 453.92741935],0
p8,1,0.31988,0.989438,[9 4] ; [405 326],[7.23387097 5.76612903] ; [406.76612903 324.23387097],0
s1,1,0.332846,0.937792,[ 1 12] ; [ 22 710],[ 0.40134228 12.59865772] ; [ 22.59865772 709.40134228],0
s4,1,0.340419,0.908851,[ 1 12] ; [131 602],[ 2.3002681 10.6997319] ; [129.6997319 603.3002681],0
a6,1,0.500697,0.453459,[10  3] ; [503 235],[8.88015979 4.11984021] ; [504.11984021 233.88015979],0
n4,1,0.565996,0.329428,[11  2] ; [577 163],[10.15139442  2.84860558] ; [577.84860558 162.15139442],0
r1,1,0.682848,0.166937,[11  2] ; [590 147],[10.41733333  2.58266667] ; [590.58266667 146.41733333],0
b4,1,0.742497,0.107944,[7 6] ; [432 308],[7.57901726 5.42098274] ; [431.42098274 308.57901726],0
a7,1,0.759469,0.093745,[9 4] ; [539 199],[9.48601864 3.51398136] ; [538.51398136 199.48601864],0
d5,1,0.777141,0.080115,[11  2] ; [601 136],[10.608  2.392] ; [601.392 135.608],0
p7,1,0.845835,0.037805,[9 4] ; [480 240],[8.67257844 4.32742156] ; [480.32742156 239.67257844],0
b5,1,0.849039,0.036231,[8 5] ; [436 304],[7.66533865 5.33466135] ; [436.33466135 303.66533865],0
p1,1,0.861792,0.030309,[ 1 12] ; [ 67 670],[ 1.17866667 11.82133333] ; [ 66.82133333 670.17866667],0
p2,1,0.931622,0.007362,[11  2] ; [629 107],[11.10814419  1.89185581] ; [628.89185581 107.10814419],0
s5,1,0.990245,0.000149,[4 7] ; [258 455],[3.98066298 7.01933702] ; [258.01933702 454.98066298],0
