Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.203737,1.615385,[10  3] ; [4 4],[8.66666667 4.33333333] ; [5.33333333 2.66666667],0
s2,1,0.247879,1.335216,[11  2] ; [5 3],[9.9047619 3.0952381] ; [6.0952381 1.9047619],0
a8,1,0.263552,1.25,[3 7] ; [3 2],[4. 6.] ; [2. 3.],0
b2,1,0.271028,1.211538,[12  1] ; [6 2],[11.14285714  1.85714286] ; [6.85714286 1.14285714],0
s8,1,0.271028,1.211538,[12  1] ; [6 2],[11.14285714  1.85714286] ; [6.85714286 1.14285714],0
s3,1,0.271028,1.211538,[12  1] ; [6 2],[11.14285714  1.85714286] ; [6.85714286 1.14285714],0
b3,1,0.271028,1.211538,[12  1] ; [6 2],[11.14285714  1.85714286] ; [6.85714286 1.14285714],0
d1,1,0.271028,1.211538,[12  1] ; [6 2],[11.14285714  1.85714286] ; [6.85714286 1.14285714],0
p12,1,0.339802,0.911178,[4 9] ; [1 7],[3.0952381 9.9047619] ; [1.9047619 6.0952381],0
v3,1,0.37472,0.787953,[8 1] ; [5 2],[7.3125 1.6875] ; [5.6875 1.3125],0
p8,1,0.378175,0.776627,[9 4] ; [4 4],[8.04761905 4.95238095] ; [4.95238095 3.04761905],0
p6,1,0.466394,0.530507,[7 6] ; [3 5],[6.19047619 6.80952381] ; [3.80952381 4.19047619],0
a4,1,0.477395,0.504808,[10  3] ; [5 3],[9.28571429 3.71428571] ; [5.71428571 2.28571429],0
b5,1,0.52511,0.403846,[8 5] ; [6 2],[8.66666667 4.33333333] ; [5.33333333 2.66666667],0
p5,1,0.56813,0.325822,[5 7] ; [2 5],[4.42105263 7.57894737] ; [2.57894737 4.42105263],0
s7,1,0.585804,0.296946,[11  2] ; [6 2],[10.52380952  2.47619048] ; [6.47619048 1.52380952],0
d2,1,0.585804,0.296946,[11  2] ; [6 2],[10.52380952  2.47619048] ; [6.47619048 1.52380952],0
p4,1,0.585804,0.296946,[11  2] ; [6 2],[10.52380952  2.47619048] ; [6.47619048 1.52380952],0
a2,1,0.603848,0.269231,[8 5] ; [4 4],[7.42857143 5.57142857] ; [4.57142857 3.42857143],0
v2,1,0.681777,0.168132,[8 2] ; [5 2],[7.64705882 2.35294118] ; [5.35294118 1.64705882],0
b4,1,0.697161,0.151442,[7 6] ; [5 3],[7.42857143 5.57142857] ; [4.57142857 3.42857143],0
p7,1,0.776258,0.080769,[9 4] ; [6 2],[9.28571429 3.71428571] ; [5.71428571 2.28571429],0
a7,1,0.776258,0.080769,[9 4] ; [6 2],[9.28571429 3.71428571] ; [5.71428571 2.28571429],0
p2,1,0.854445,0.033654,[11  2] ; [7 1],[11.14285714  1.85714286] ; [6.85714286 1.14285714],0
d5,1,0.854445,0.033654,[11  2] ; [7 1],[11.14285714  1.85714286] ; [6.85714286 1.14285714],0
d3,1,0.854445,0.033654,[11  2] ; [7 1],[11.14285714  1.85714286] ; [6.85714286 1.14285714],0
a6,1,0.919964,0.010096,[10  3] ; [6 2],[9.9047619 3.0952381] ; [6.0952381 1.9047619],0
a1,1,0.919964,0.010096,[ 3 10] ; [2 6],[3.0952381 9.9047619] ; [1.9047619 6.0952381],0
n4,1,0.94766,0.004309,[11  2] ; [6 1],[11.05  1.95] ; [5.95 1.05],0
r1,1,0.94766,0.004309,[11  2] ; [6 1],[11.05  1.95] ; [5.95 1.05],0
s5,1,0.959566,0.00257,[4 7] ; [3 5],[4.05263158 6.94736842] ; [2.94736842 5.05263158],0
u1,1,0.964854,0.001942,[5 8] ; [3 5],[4.95238095 8.04761905] ; [3.04761905 4.95238095],0
