Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.008027,7.027461,[9 3] ; [ 63 110],[4.67027027 7.32972973] ; [ 67.32972973 105.67027027],0
b3,1,0.008027,7.027461,[9 3] ; [ 63 110],[4.67027027 7.32972973] ; [ 67.32972973 105.67027027],0
d2,1,0.009709,6.687466,[11  1] ; [150 129],[6.63917526 5.36082474] ; [154.36082474 124.63917526],0
s2,1,0.013929,6.047084,[11  1] ; [154 122],[6.875 5.125] ; [158.125 117.875],0
p2,1,0.02636,4.932241,[7 5] ; [230  46],[9.875 2.125] ; [227.125  48.875],0
s8,1,0.026814,4.90273,[10  2] ; [141 137],[6.24827586 5.75172414] ; [144.75172414 133.24827586],0
s3,1,0.031681,4.615654,[11  1] ; [167 107],[7.46853147 4.53146853] ; [170.53146853 103.46853147],0
p12,1,0.039597,4.235055,[3 9] ; [ 22 255],[ 1.03806228 10.96193772] ; [ 23.96193772 253.03806228],0
u1,1,0.039664,4.232209,[5 7] ; [ 50 229],[2.26804124 9.73195876] ; [ 52.73195876 226.26804124],0
s7,1,0.050809,3.814555,[10  2] ; [145 120],[6.71480144 5.28519856] ; [148.28519856 116.71480144],0
a2,1,0.063927,3.432443,[6 6] ; [ 72 207],[3.21649485 8.78350515] ; [ 74.78350515 204.21649485],0
p7,1,0.079306,3.079064,[5 6] ; [192  81],[7.63028169 3.36971831] ; [189.36971831  83.63028169],0
a4,1,0.092125,2.836841,[9 3] ; [140 139],[6.1443299 5.8556701] ; [142.8556701 136.1443299],0
s6,1,0.237388,1.396038,[10  2] ; [181  89],[8.12765957 3.87234043] ; [182.87234043  87.12765957],0
p6,1,0.257292,1.283267,[7 5] ; [115 160],[5.1010453 6.8989547] ; [116.8989547 158.1010453],0
s5,1,0.280243,1.16591,[2 8] ; [ 98 169],[3.6101083 6.3898917] ; [ 96.3898917 170.6101083],0
v2,1,0.280437,1.16497,[7 3] ; [139 125],[5.32846715 4.67153285] ; [140.67153285 123.32846715],0
n3,1,0.298593,1.080467,[2 2] ; [40 14],[2.89655172 1.10344828] ; [39.10344828 14.89655172],0
d5,1,0.299831,1.074944,[11  1] ; [220  57],[9.5916955 2.4083045] ; [221.4083045  55.5916955],0
r1,1,0.299831,1.074944,[11  1] ; [220  57],[9.5916955 2.4083045] ; [221.4083045  55.5916955],0
b4,1,0.306512,1.045648,[5 7] ; [158 121],[6.72164948 5.27835052] ; [156.27835052 122.72164948],0
n4,1,0.315749,1.006473,[11  1] ; [223  56],[9.64948454 2.35051546] ; [224.35051546  54.64948454],0
n2,1,0.332532,0.939012,[2 2] ; [40 15],[2.84745763 1.15254237] ; [39.15254237 15.84745763],0
p5,1,0.338949,0.914404,[3 9] ; [ 41 235],[ 1.83333333 10.16666667] ; [ 42.16666667 233.83333333],0
v1,1,0.349186,0.876413,[7 3] ; [148 121],[5.55555556 4.44444444] ; [149.44444444 119.55555556],0
n1,1,0.370488,0.802027,[3 1] ; [28 26],[2.13793103 1.86206897] ; [28.86206897 25.13793103],0
n6,1,0.373579,0.791726,[11  1] ; [226  51],[9.84083045 2.15916955] ; [227.15916955  49.84083045],0
n5,1,0.376048,0.783582,[11  1] ; [227  51],[9.84827586 2.15172414] ; [228.15172414  49.84827586],0
s1,1,0.402513,0.700807,[ 1 11] ; [ 10 267],[ 0.4567474 11.5432526] ; [ 10.5432526 266.4567474],0
p1,1,0.403882,0.696737,[ 2 10] ; [ 26 251],[ 1.16262976 10.83737024] ; [ 26.83737024 250.16262976],0
s4,1,0.477315,0.504992,[ 1 11] ; [ 44 232],[ 1.875 10.125] ; [ 43.125 232.875],0
p8,1,0.478675,0.50188,[8 4] ; [156 121],[6.80968858 5.19031142] ; [157.19031142 119.80968858],0
p4,1,0.485449,0.486597,[9 3] ; [182  97],[7.87628866 4.12371134] ; [183.12371134  95.87628866],0
v3,1,0.511428,0.431143,[4 4] ; [104 166],[3.10791367 4.89208633] ; [104.89208633 165.10791367],0
u2,1,0.585329,0.297698,[1 1] ; [41 19],[1.35483871 0.64516129] ; [40.64516129 19.35483871],0
p3,1,0.589404,0.291276,[8 4] ; [163 114],[7.10034602 4.89965398] ; [163.89965398 113.10034602],0
u3,1,0.624184,0.240031,[1 1] ; [40 20],[1.32258065 0.67741935] ; [39.67741935 20.32258065],0
a5,1,0.630073,0.231962,[10  2] ; [216  63],[9.31958763 2.68041237] ; [216.68041237  62.31958763],0
a3,1,0.684234,0.165399,[10  2] ; [218  60],[9.43448276 2.56551724] ; [218.56551724  59.43448276],0
a8,1,0.699412,0.149085,[ 1 10] ; [ 34 226],[1.42066421 9.57933579] ; [ 33.57933579 226.42066421],0
b5,1,0.737472,0.112361,[7 5] ; [149 130],[6.43298969 5.56701031] ; [149.56701031 129.43298969],0
p11,1,0.773494,0.082833,[9 3] ; [219  60],[9.40206186 2.59793814] ; [218.59793814  60.40206186],0
p9,1,0.844172,0.038636,[11  1] ; [250  28],[10.8  1.2] ; [250.2  27.8],0
d3,1,0.844946,0.038248,[8 4] ; [177 100],[7.6816609 4.3183391] ; [177.3183391  99.6816609],0
v4,1,0.846697,0.037378,[11  1] ; [257  19],[11.16666667  0.83333333] ; [256.83333333  19.16666667],0
a6,1,0.891611,0.018568,[8 4] ; [180  98],[7.77931034 4.22068966] ; [180.22068966  97.77931034],0
a7,1,0.951374,0.003719,[8 4] ; [187  90],[8.09688581 3.90311419] ; [186.90311419  90.09688581],0
a1,1,0.955082,0.003173,[ 1 11] ; [ 22 257],[ 0.94845361 11.05154639] ; [ 22.05154639 256.94845361],0
