Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.001512,10.064483,[230  46] ; [2 4],[227.06382979  48.93617021] ; [4.93617021 1.06382979],0
p7,1,0.015495,5.859349,[192  81] ; [1 4],[189.52877698  83.47122302] ; [3.47122302 1.52877698],0
u1,1,0.045696,3.992768,[ 50 229] ; [3 3],[ 51.88421053 227.11578947] ; [1.11578947 4.88421053],0
p11,1,0.096064,2.769699,[219  60] ; [3 3],[217.32631579  61.67368421] ; [4.67368421 1.32631579],0
p3,1,0.209881,1.572248,[163 114] ; [2 4],[161.50176678 115.49823322] ; [3.49823322 2.50176678],0
v4,1,0.355739,0.852879,[257  19] ; [5 1],[256.42553191  19.57446809] ; [5.57446809 0.42553191],0
n1,1,0.370488,0.802027,[28 26] ; [3 1],[28.86206897 25.13793103] ; [2.13793103 1.86206897],0
v3,1,0.398368,0.713248,[104 166] ; [1 4],[103.09090909 166.90909091] ; [1.90909091 3.09090909],0
s6,1,0.399667,0.709327,[181  89] ; [5 1],[181.95652174  88.04347826] ; [4.04347826 1.95652174],0
a4,1,0.424166,0.638743,[140 139] ; [4 2],[140.96842105 138.03157895] ; [3.03157895 2.96842105],0
p4,1,0.439186,0.598409,[182  97] ; [3 3],[181.10526316  97.89473684] ; [3.89473684 2.10526316],0
a6,1,0.455282,0.557468,[180  98] ; [3 3],[179.13380282  98.86619718] ; [3.86619718 2.13380282],0
a3,1,0.490598,0.475215,[218  60] ; [4 2],[217.30985915  60.69014085] ; [4.69014085 1.30985915],0
v2,1,0.496427,0.462567,[139 125] ; [4 2],[139.82222222 124.17777778] ; [3.17777778 2.82222222],0
b3,1,0.497766,0.459697,[ 63 110] ; [3 3],[ 63.7877095 109.2122905] ; [2.2122905 3.7877095],0
b2,1,0.497766,0.459697,[ 63 110] ; [3 3],[ 63.7877095 109.2122905] ; [2.2122905 3.7877095],0
b5,1,0.519211,0.415461,[149 130] ; [4 2],[149.77894737 129.22105263] ; [3.22105263 2.77894737],0
p1,1,0.548129,0.36068,[ 26 251] ; [1 5],[ 26.42756184 250.57243816] ; [0.57243816 5.42756184],0
s7,1,0.560708,0.33848,[145 120] ; [4 2],[145.70110701 119.29889299] ; [3.29889299 2.70110701],0
v1,1,0.570346,0.322104,[148 121] ; [4 2],[148.68363636 120.31636364] ; [3.31636364 2.68363636],0
u2,1,0.585329,0.297698,[41 19] ; [1 1],[40.64516129 19.35483871] ; [1.35483871 0.64516129],0
s2,1,0.595645,0.281615,[154 122] ; [4 2],[154.63829787 121.36170213] ; [3.36170213 2.63829787],0
p9,1,0.597625,0.278593,[250  28] ; [5 1],[249.61267606  28.38732394] ; [5.38732394 0.61267606],0
u3,1,0.624184,0.240031,[40 20] ; [1 1],[39.67741935 20.32258065] ; [1.32258065 0.67741935],0
a2,1,0.677365,0.173108,[ 72 207] ; [2 4],[ 72.44210526 206.55789474] ; [1.55789474 4.44210526],0
p6,1,0.687899,0.161369,[115 160] ; [3 3],[115.48042705 159.51957295] ; [2.51957295 3.48042705],0
a5,1,0.731242,0.117974,[216  63] ; [5 1],[216.34736842  62.65263158] ; [4.65263158 1.34736842],0
b4,1,0.745826,0.105072,[158 121] ; [3 3],[157.61052632 121.38947368] ; [3.38947368 2.61052632],0
p8,1,0.757647,0.095217,[156 121] ; [3 3],[155.62897527 121.37102473] ; [3.37102473 2.62897527],0
s3,1,0.776297,0.08074,[167 107] ; [4 2],[167.33571429 106.66428571] ; [3.66428571 2.33571429],0
d3,1,0.888897,0.019516,[177 100] ; [4 2],[177.16254417  99.83745583] ; [3.83745583 2.16254417],0
n6,1,0.913055,0.011922,[226  51] ; [5 1],[226.1024735  50.8975265] ; [4.8975265 1.1024735],0
n5,1,0.916225,0.011065,[227  51] ; [5 1],[227.09859155  50.90140845] ; [4.90140845 1.09859155],0
n2,1,0.921363,0.009745,[40 15] ; [3 1],[40.08474576 14.91525424] ; [2.91525424 1.08474576],0
a7,1,0.965239,0.001899,[187  90] ; [4 2],[186.95053004  90.04946996] ; [4.04946996 1.95053004],0
n3,1,0.96745,0.001665,[40 14] ; [3 1],[40.03448276 13.96551724] ; [2.96551724 1.03448276],0
s8,1,0.972181,0.001216,[141 137] ; [3 3],[140.95774648 137.04225352] ; [3.04225352 2.95774648],0
