Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,39.958544,[ 51 772] ; [21 59],[ 65.62126246 757.37873754] ; [ 6.37873754 73.62126246],1
p3,1,0.0,28.554341,[351 473] ; [59 21],[373.71681416 450.28318584] ; [36.28318584 43.71681416],1
p4,1,0.0,28.204594,[431 391] ; [66 13],[453.42286349 368.57713651] ; [43.57713651 35.42286349],1
p8,1,9e-06,19.705857,[375 440] ; [57 22],[393.82550336 421.17449664] ; [38.17449664 40.82550336],1
p6,1,7.7e-05,15.632664,[253 561] ; [41 36],[268.59259259 545.40740741] ; [25.40740741 51.59259259],1
p7,1,0.00258,9.082685,[476 330] ; [59 18],[488.34654587 317.65345413] ; [46.65345413 30.34654587],0
p9,1,0.006377,7.440648,[635 178] ; [72  7],[644.38452915 168.61547085] ; [62.61547085 16.38452915],0
p10,1,0.012432,6.248177,[609 209] ; [68 10],[618.06473214 199.93526786] ; [58.93526786 19.06473214],0
b1,1,0.032527,4.570513,[322 504] ; [41 39],[330.94701987 495.05298013] ; [32.05298013 47.94701987],0
p11,1,0.061966,3.483955,[602 224] ; [66 14],[609.01545254 216.98454746] ; [58.98454746 21.01545254],0
p2,1,0.068434,3.32018,[649 176] ; [69 10],[655.25442478 169.74557522] ; [62.74557522 16.25442478],0
