Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,1e-06,23.207914,[67 26] ; [336  34],[80.94816415 12.05183585] ; [322.05183585  47.94816415],1
p6,1,2e-06,22.51616,[22 66] ; [196 173],[41.97811816 46.02188184] ; [176.02188184 192.97811816],1
p8,1,1e-05,19.510329,[41 50] ; [258 112],[59.02169197 31.97830803] ; [239.97830803 130.02169197],1
p10,1,0.000266,13.293531,[66 25] ; [325  45],[77.18221258 13.81778742] ; [313.81778742  56.18221258],1
p5,1,0.000402,12.521297,[ 5 88] ; [ 78 291],[16.70779221 76.29220779] ; [ 66.29220779 302.70779221],1
p9,1,0.000509,12.084044,[70 21] ; [335  36],[79.77272727 11.22727273] ; [325.22727273  45.77272727],1
p11,1,0.006704,7.350735,[66 27] ; [310  62],[75.2 17.8] ; [300.8  71.2],0
p12,1,0.011505,6.385658,[ 3 88] ; [ 46 325],[ 9.65151515 81.34848485] ; [ 39.34848485 331.65151515],0
b1,1,0.262597,1.255014,[46 47] ; [160 212],[41.2 51.8] ; [164.8 207.2],0
p7,1,0.445591,0.581843,[67 25] ; [282  86],[69.8 22.2] ; [279.2  88.8],0
p1,1,0.909477,0.012927,[12 81] ; [ 46 323],[11.67532468 81.32467532] ; [ 46.32467532 322.67532468],0
