Feature,DoF,P Value,Chi Square,Is Significant
p1,1,0.110587,2.545808,0
p7,1,0.140094,2.176929,0
a6,1,0.259393,1.271993,0
b2,1,0.259619,1.270787,0
b3,1,0.259619,1.270787,0
b4,1,0.393781,0.727236,0
u1,1,0.418496,0.654535,0
b5,1,0.460301,0.545161,0
p2,1,0.47342,0.513983,0
p9,1,0.4883,0.480271,0
s8,1,0.489561,0.477491,0
a4,1,0.525387,0.403306,0
v2,1,0.669553,0.182125,0
v1,1,0.676851,0.173692,0
a2,1,0.701285,0.147139,0
p3,1,0.754762,0.097573,0
a3,1,0.769815,0.085625,0
d3,1,0.892905,0.018125,0
a7,1,0.921575,0.009692,0
